time_start,zone,psr_type,generation_mw,resolution_minutes
2022-01-01T00:00:00+00:00,DK1,solar,0.72,60
2022-01-01T01:00:00+00:00,DK1,solar,0.72,60
2022-01-01T02:00:00+00:00,DK1,solar,0.72,60
2022-01-01T03:00:00+00:00,DK1,solar,0.72,60
2022-01-01T04:00:00+00:00,DK1,solar,0.72,60
2022-01-01T05:00:00+00:00,DK1,solar,0.72,60
2022-01-01T06:00:00+00:00,DK1,solar,0.71,60
2022-01-01T07:00:00+00:00,DK1,solar,0.76,60
2022-01-01T08:00:00+00:00,DK1,solar,8.72,60
2022-01-01T09:00:00+00:00,DK1,solar,32.28,60
2022-01-01T10:00:00+00:00,DK1,solar,50.54,60
2022-01-01T11:00:00+00:00,DK1,solar,45.59,60
2022-01-01T12:00:00+00:00,DK1,solar,28.44,60
2022-01-01T13:00:00+00:00,DK1,solar,12.24,60
2022-01-01T14:00:00+00:00,DK1,solar,2.38,60
2022-01-01T15:00:00+00:00,DK1,solar,0.57,60
2022-01-01T16:00:00+00:00,DK1,solar,0.57,60
2022-01-01T17:00:00+00:00,DK1,solar,0.57,60
2022-01-01T18:00:00+00:00,DK1,solar,0.57,60
2022-01-01T19:00:00+00:00,DK1,solar,0.57,60
2022-01-01T20:00:00+00:00,DK1,solar,0.57,60
2022-01-01T21:00:00+00:00,DK1,solar,0.57,60
2022-01-01T22:00:00+00:00,DK1,solar,0.57,60
2022-01-01T23:00:00+00:00,DK1,solar,0.57,60
2022-01-02T00:00:00+00:00,DK1,solar,0.57,60
2022-01-02T01:00:00+00:00,DK1,solar,0.57,60
2022-01-02T02:00:00+00:00,DK1,solar,0.56,60
2022-01-02T03:00:00+00:00,DK1,solar,0.57,60
2022-01-02T04:00:00+00:00,DK1,solar,0.57,60
2022-01-02T05:00:00+00:00,DK1,solar,0.57,60
2022-01-02T06:00:00+00:00,DK1,solar,0.57,60
2022-01-02T07:00:00+00:00,DK1,solar,0.57,60
2022-01-02T08:00:00+00:00,DK1,solar,2.72,60
2022-01-02T09:00:00+00:00,DK1,solar,12.35,60
2022-01-02T10:00:00+00:00,DK1,solar,18.94,60
2022-01-02T11:00:00+00:00,DK1,solar,22.96,60
2022-01-02T12:00:00+00:00,DK1,solar,21.46,60
2022-01-02T13:00:00+00:00,DK1,solar,10.77,60
2022-01-02T14:00:00+00:00,DK1,solar,1.64,60
2022-01-02T15:00:00+00:00,DK1,solar,0.58,60
2022-01-02T16:00:00+00:00,DK1,solar,0.57,60
2022-01-02T17:00:00+00:00,DK1,solar,0.57,60
2022-01-02T18:00:00+00:00,DK1,solar,0.57,60
2022-01-02T19:00:00+00:00,DK1,solar,0.57,60
2022-01-02T20:00:00+00:00,DK1,solar,0.56,60
