time_start,zone,psr_type,generation_mw,resolution_minutes
2024-01-01T00:00:00+00:00,SE3,solar,0.01,60
2024-01-01T04:00:00+00:00,SE3,solar,0.02,60
2024-01-01T05:00:00+00:00,SE3,solar,0.03,60
2024-01-01T07:00:00+00:00,SE3,solar,0.07,60
2024-01-01T08:00:00+00:00,SE3,solar,0.27,60
2024-01-01T09:00:00+00:00,SE3,solar,1.57,60
2024-01-01T10:00:00+00:00,SE3,solar,2.5,60
2024-01-01T11:00:00+00:00,SE3,solar,2.82,60
2024-01-01T12:00:00+00:00,SE3,solar,1.77,60
2024-01-01T13:00:00+00:00,SE3,solar,0.46,60
2024-01-01T14:00:00+00:00,SE3,solar,0.05,60
2024-01-01T15:00:00+00:00,SE3,solar,0.02,60
2024-01-01T18:00:00+00:00,SE3,solar,0.01,60
2024-01-01T19:00:00+00:00,SE3,solar,0.02,60
2024-01-01T20:00:00+00:00,SE3,solar,0.03,60
2024-01-01T21:00:00+00:00,SE3,solar,0.02,60
2024-01-01T22:00:00+00:00,SE3,solar,0.03,60
2024-01-01T23:00:00+00:00,SE3,solar,0.0,60
2024-01-02T06:00:00+00:00,SE3,solar,0.1,60
2024-01-02T07:00:00+00:00,SE3,solar,0.13,60
2024-01-02T08:00:00+00:00,SE3,solar,0.89,60
2024-01-02T09:00:00+00:00,SE3,solar,4.13,60
2024-01-02T10:00:00+00:00,SE3,solar,5.87,60
2024-01-02T11:00:00+00:00,SE3,solar,6.25,60
2024-01-02T12:00:00+00:00,SE3,solar,3.76,60
2024-01-02T13:00:00+00:00,SE3,solar,1.2,60
2024-01-02T14:00:00+00:00,SE3,solar,0.17,60
2024-01-02T15:00:00+00:00,SE3,solar,0.0,60
2024-01-03T07:00:00+00:00,SE3,solar,0.02,60
2024-01-03T08:00:00+00:00,SE3,solar,0.32,60
2024-01-03T09:00:00+00:00,SE3,solar,1.97,60
2024-01-03T10:00:00+00:00,SE3,solar,4.08,60
2024-01-03T11:00:00+00:00,SE3,solar,3.84,60
2024-01-03T12:00:00+00:00,SE3,solar,2.08,60
2024-01-03T13:00:00+00:00,SE3,solar,0.63,60
2024-01-03T14:00:00+00:00,SE3,solar,0.06,60
2024-01-03T15:00:00+00:00,SE3,solar,0.0,60
2024-01-04T07:00:00+00:00,SE3,solar,0.02,60
2024-01-04T08:00:00+00:00,SE3,solar,0.41,60
2024-01-04T09:00:00+00:00,SE3,solar,3.33,60
2024-01-04T10:00:00+00:00,SE3,solar,7.91,60
2024-01-04T11:00:00+00:00,SE3,solar,8.75,60
2024-01-04T12:00:00+00:00,SE3,solar,5.47,60
2024-01-04T13:00:00+00:00,SE3,solar,1.96,60
2024-01-04T14:00:00+00:00,SE3,solar,0.22,60
2024-01-04T15:00:00+00:00,SE3,solar,0.0,60
2024-01-05T07:00:00+00:00,SE3,solar,0.09,60
2024-01-05T08:00:00+00:00,SE3,solar,2.04,60
2024-01-05T09:00:00+00:00,SE3,solar,9.27,60
2024-01-05T10:00:00+00:00,SE3,solar,17.36,60
2024-01-05T11:00:00+00:00,SE3,solar,18.17,60
2024-01-05T12:00:00+00:00,SE3,solar,11.53,60
2024-01-05T13:00:00+00:00,SE3,solar,4.06,60
2024-01-05T14:00:00+00:00,SE3,solar,0.52,60
2024-01-05T15:00:00+00:00,SE3,solar,0.0,60
2024-01-05T23:00:00+00:00,SE3,solar,0.05,60
2024-01-06T03:00:00+00:00,SE3,solar,0.06,60
2024-01-06T07:00:00+00:00,SE3,solar,0.25,60
2024-01-06T08:00:00+00:00,SE3,solar,2.59,60
2024-01-06T09:00:00+00:00,SE3,solar,11.28,60
2024-01-06T10:00:00+00:00,SE3,solar,20.77,60
2024-01-06T11:00:00+00:00,SE3,solar,22.32,60
2024-01-06T12:00:00+00:00,SE3,solar,15.71,60
2024-01-06T13:00:00+00:00,SE3,solar,6.55,60
2024-01-06T14:00:00+00:00,SE3,solar,1.0,60
2024-01-06T15:00:00+00:00,SE3,solar,0.06,60
2024-01-06T22:00:00+00:00,SE3,solar,0.05,60
2024-01-06T23:00:00+00:00,SE3,solar,0.06,60
2024-01-07T07:00:00+00:00,SE3,solar,0.22,60
2024-01-07T08:00:00+00:00,SE3,solar,2.26,60
2024-01-07T09:00:00+00:00,SE3,solar,8.79,60
2024-01-07T10:00:00+00:00,SE3,solar,16.31,60
2024-01-07T11:00:00+00:00,SE3,solar,18.18,60
2024-01-07T12:00:00+00:00,SE3,solar,13.38,60
2024-01-07T13:00:00+00:00,SE3,solar,5.28,60
2024-01-07T14:00:00+00:00,SE3,solar,0.98,60
2024-01-07T15:00:00+00:00,SE3,solar,0.06,60
2024-01-07T23:00:00+00:00,SE3,solar,0.0,60
2024-01-08T07:00:00+00:00,SE3,solar,0.22,60
2024-01-08T08:00:00+00:00,SE3,solar,3.24,60
2024-01-08T09:00:00+00:00,SE3,solar,11.95,60
2024-01-08T10:00:00+00:00,SE3,solar,20.64,60
2024-01-08T11:00:00+00:00,SE3,solar,22.75,60
2024-01-08T12:00:00+00:00,SE3,solar,16.11,60
2024-01-08T13:00:00+00:00,SE3,solar,6.02,60
2024-01-08T14:00:00+00:00,SE3,solar,0.94,60
2024-01-08T15:00:00+00:00,SE3,solar,0.0,60
2024-01-08T23:00:00+00:00,SE3,solar,0.01,60
2024-01-09T00:00:00+00:00,SE3,solar,0.02,60
2024-01-09T01:00:00+00:00,SE3,solar,0.01,60
2024-01-09T04:00:00+00:00,SE3,solar,0.02,60
2024-01-09T05:00:00+00:00,SE3,solar,0.03,60
2024-01-09T07:00:00+00:00,SE3,solar,0.31,60
2024-01-09T08:00:00+00:00,SE3,solar,2.67,60
2024-01-09T09:00:00+00:00,SE3,solar,8.77,60
2024-01-09T10:00:00+00:00,SE3,solar,17.57,60
2024-01-09T11:00:00+00:00,SE3,solar,21.07,60
2024-01-09T12:00:00+00:00,SE3,solar,13.28,60
2024-01-09T13:00:00+00:00,SE3,solar,4.47,60
2024-01-09T14:00:00+00:00,SE3,solar,0.77,60
2024-01-09T15:00:00+00:00,SE3,solar,0.04,60
2024-01-09T16:00:00+00:00,SE3,solar,0.07,60
2024-01-09T17:00:00+00:00,SE3,solar,0.05,60
2024-01-09T18:00:00+00:00,SE3,solar,0.02,60
2024-01-09T20:00:00+00:00,SE3,solar,0.01,60
2024-01-09T22:00:00+00:00,SE3,solar,0.02,60
2024-01-09T23:00:00+00:00,SE3,solar,0.0,60
2024-01-10T07:00:00+00:00,SE3,solar,0.3,60
2024-01-10T08:00:00+00:00,SE3,solar,4.03,60
2024-01-10T09:00:00+00:00,SE3,solar,14.69,60
2024-01-10T10:00:00+00:00,SE3,solar,25.56,60
2024-01-10T11:00:00+00:00,SE3,solar,26.95,60
2024-01-10T12:00:00+00:00,SE3,solar,18.13,60
2024-01-10T13:00:00+00:00,SE3,solar,7.33,60
2024-01-10T14:00:00+00:00,SE3,solar,1.36,60
2024-01-10T15:00:00+00:00,SE3,solar,0.0,60
2024-01-11T07:00:00+00:00,SE3,solar,0.28,60
2024-01-11T08:00:00+00:00,SE3,solar,3.28,60
2024-01-11T09:00:00+00:00,SE3,solar,10.81,60
2024-01-11T10:00:00+00:00,SE3,solar,18.25,60
2024-01-11T11:00:00+00:00,SE3,solar,20.76,60
2024-01-11T12:00:00+00:00,SE3,solar,15.55,60
2024-01-11T13:00:00+00:00,SE3,solar,6.3,60
2024-01-11T14:00:00+00:00,SE3,solar,1.14,60
2024-01-11T15:00:00+00:00,SE3,solar,0.01,60
2024-01-11T22:00:00+00:00,SE3,solar,0.0,60
2024-01-11T23:00:00+00:00,SE3,solar,0.01,60
2024-01-12T06:00:00+00:00,SE3,solar,0.0,60
2024-01-12T07:00:00+00:00,SE3,solar,0.2,60
2024-01-12T08:00:00+00:00,SE3,solar,3.37,60
2024-01-12T09:00:00+00:00,SE3,solar,11.13,60
2024-01-12T10:00:00+00:00,SE3,solar,17.75,60
2024-01-12T11:00:00+00:00,SE3,solar,19.03,60
2024-01-12T12:00:00+00:00,SE3,solar,12.21,60
2024-01-12T13:00:00+00:00,SE3,solar,4.96,60
2024-01-12T14:00:00+00:00,SE3,solar,0.95,60
2024-01-12T15:00:00+00:00,SE3,solar,0.0,60
2024-01-12T21:00:00+00:00,SE3,solar,0.01,60
2024-01-13T07:00:00+00:00,SE3,solar,0.04,60
2024-01-13T08:00:00+00:00,SE3,solar,0.66,60
2024-01-13T09:00:00+00:00,SE3,solar,2.44,60
2024-01-13T10:00:00+00:00,SE3,solar,6.37,60
2024-01-13T11:00:00+00:00,SE3,solar,7.6,60
2024-01-13T12:00:00+00:00,SE3,solar,5.79,60
2024-01-13T13:00:00+00:00,SE3,solar,2.33,60
2024-01-13T14:00:00+00:00,SE3,solar,0.41,60
2024-01-13T15:00:00+00:00,SE3,solar,0.01,60
2024-01-13T23:00:00+00:00,SE3,solar,0.02,60
