year,zone,turbines,installed_mw,production_gwh
2004,SE1,14,9.81,12.96
2004,SE2,45,34.89,39.69
2004,SE3,378,209.38,380.85
2004,SE4,327,220.74,425.96
2005,SE1,21,20.5,27.1
2005,SE2,49,44.83,72.02
2005,SE3,418,238.22,397.49
2005,SE4,325,217.96,438.12
2006,SE1,27,26.5,53.3
2006,SE2,51,47.13,86.75
2006,SE3,453,278.08,423.39
2006,SE4,336,233.42,420.04
2007,SE1,32,36.5,89.36
2007,SE2,51,51.98,97.97
2007,SE3,516,349.37,621.32
2007,SE4,410,384.6,617.46
2008,SE1,46,72.32,91.73
2008,SE2,73,92.0,102.71
2008,SE3,614,506.75,837.24
2008,SE4,433,418.63,966.14
2009,SE1,58,94.85,135.63
2009,SE2,114,180.2,199.89
2009,SE3,701,664.08,1103.81
2009,SE4,498,536.39,1051.08
2010,SE1,67,112.85,199.87
2010,SE2,216,385.4,567.52
2010,SE3,804,853.96,1428.57
2010,SE4,571,665.63,1290.56
2011,SE1,90,157.48,287.19
2011,SE2,269,506.8,1196.03
2011,SE3,998,1253.78,2747.31
2011,SE4,661,846.46,1876.99
2012,SE1,158,312.65,443.08
2012,SE2,376,778.65,1287.47
2012,SE3,1064,1401.74,3237.8
2012,SE4,786,1113.73,2195.26
2013,SE1,166,332.65,880.23
2013,SE2,474,1027.53,2648.44
2013,SE3,1130,1527.24,3492.1
2013,SE4,868,1306.43,2821.45
2014,SE1,214,453.25,887.77
2014,SE2,613,1392.55,2930.4
2014,SE3,1206,1812.45,3939.91
2014,SE4,922,1429.29,3476.02
2015,SE1,226,489.25,1359.29
2015,SE2,800,1977.95,5283.37
2015,SE3,1219,1875.65,5542.39
2015,SE4,916,1475.33,4137.69
2016,SE1,235,520.97,1176.43
2016,SE2,899,2297.2,5505.21
2016,SE3,1235,2013.77,5005.36
2016,SE4,961,1602.24,3792.41
2017,SE1,235,520.97,1355.21
2017,SE2,915,2346.6,6325.55
2017,SE3,1259,2115.89,5537.3
2017,SE4,967,1627.49,4390.66
2018,SE1,326,830.22,1391.22
2018,SE2,971,2561.15,6427.66
2018,SE3,1310,2278.19,5084.81
2018,SE4,962,1630.66,3713.03
2019,SE1,451,1254.37,2404.62
2019,SE2,1153,3148.24,6844.67
2019,SE3,1401,2625.69,6404.75
2019,SE4,973,1652.93,4192.7
2020,SE1,549,1648.07,4015.23
2020,SE2,1338,3944.74,11084.98
2020,SE3,1447,2839.95,7951.34
2020,SE4,964,1649.2,4473.06
2021,SE1,619,1947.37,4681.1
2021,SE2,1612,5167.7,11068.45
2021,SE3,1500,3078.82,7404.49
2021,SE4,1023,1921.89,3954.31
2022,SE1,786,2872.0,5595.0
2022,SE2,1770,5969.0,14523.0
2022,SE3,1533,3254.0,8058.0
2022,SE4,1075,2183.0,4912.0
2023,SE1,814,2999.87,5815.75
2023,SE2,1902,6823.35,14327.64
2023,SE3,1647,3969.16,8330.42
2023,SE4,1134,2431.34,5600.79
2024,SE1,823,3066.87,7537.24
2024,SE2,1941,7075.25,17217.51
2024,SE3,1658,4233.36,9827.85
2024,SE4,1125,2443.88,5836.4
