date,contract,daily_fix_eur,bid_eur,ask_eur,high_eur,low_eur,open_interest
2024-01-02,SYMALFUTBLYR-27,15.50,,,,,5
2024-01-02,SYMALFUTBLYR-28,15.50,,,,,
2024-01-03,SYMALFUTBLYR-27,15.50,,,,,5
2024-01-03,SYMALFUTBLYR-28,15.50,,,,,
2024-01-04,SYMALFUTBLYR-27,15.50,,,,,5
2024-01-04,SYMALFUTBLYR-28,15.50,,,,,
2024-01-05,SYMALFUTBLYR-27,15.50,,,,,5
2024-01-05,SYMALFUTBLYR-28,15.50,,,,,
2024-01-08,SYMALFUTBLYR-27,15.50,,,,,5
2024-01-08,SYMALFUTBLYR-28,15.50,,,,,
2024-01-09,SYMALFUTBLYR-27,14.50,,,,,5
2024-01-09,SYMALFUTBLYR-28,14.50,,,,,
2024-01-10,SYMALFUTBLYR-27,14.50,,,,,5
2024-01-10,SYMALFUTBLYR-28,14.50,,,,,
2024-01-11,SYMALFUTBLYR-27,14.50,,,,,5
2024-01-11,SYMALFUTBLYR-28,14.50,,,,,
2024-01-12,SYMALFUTBLYR-27,14.50,,,,,5
2024-01-12,SYMALFUTBLYR-28,14.50,,,,,
2024-01-15,SYMALFUTBLYR-27,14.50,,,,,5
2024-01-15,SYMALFUTBLYR-28,14.50,,,,,
2024-01-16,SYMALFUTBLYR-27,14.00,,14.50,,,5
2024-01-16,SYMALFUTBLYR-28,14.00,,14.50,,,
2024-01-17,SYMALFUTBLYR-27,14.00,,,,,5
2024-01-17,SYMALFUTBLYR-28,14.00,,16.00,,,
2024-01-18,SYMALFUTBLYR-27,14.00,,,,,5
2024-01-18,SYMALFUTBLYR-28,14.00,,,,,
2024-01-19,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-19,SYMALFUTBLYR-28,14.00,,16.00,,,
2024-01-22,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-22,SYMALFUTBLYR-28,13.50,,,,,
2024-01-23,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-23,SYMALFUTBLYR-28,13.50,,15.00,,,
2024-01-24,SYMALFUTBLYR-27,14.00,,15.00,,,7
2024-01-24,SYMALFUTBLYR-28,13.50,,,,,
2024-01-25,SYMALFUTBLYR-27,14.00,11.50,17.00,,,7
2024-01-25,SYMALFUTBLYR-28,13.50,,,,,
2024-01-26,SYMALFUTBLYR-27,14.00,,17.00,,,7
2024-01-26,SYMALFUTBLYR-28,13.50,,,,,
2024-01-29,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-29,SYMALFUTBLYR-28,13.50,,,,,
2024-01-30,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-30,SYMALFUTBLYR-28,13.50,,15.00,,,
2024-01-31,SYMALFUTBLYR-27,14.00,,,,,7
2024-01-31,SYMALFUTBLYR-28,13.50,,,,,
2024-02-01,SYMALFUTBLYR-27,14.00,,,,,7
2024-02-01,SYMALFUTBLYR-28,13.50,,,,,
