time_start,zone,mfrr_up_price_eur_mwh,mfrr_up_volume_mwh,mfrr_down_price_eur_mwh,mfrr_down_volume_mwh
2025-01-01T00:00:00,SE1,4.88,0.0,2.0,10.0
2025-01-01T00:00:00,SE2,4.55,0.0,2.0,5.0
2025-01-01T00:00:00,SE3,3.16,0.0,2.0,0.0
2025-01-01T00:00:00,SE4,2.67,0.0,2.0,0.0
2025-01-01T01:00:00,SE1,3.97,0.0,2.0,10.0
2025-01-01T01:00:00,SE2,3.69,0.0,2.0,5.0
2025-01-01T01:00:00,SE3,2.47,0.0,2.0,0.0
2025-01-01T01:00:00,SE4,2.04,0.0,2.0,0.0
2025-01-01T02:00:00,SE1,3.82,0.0,2.0,10.0
2025-01-01T02:00:00,SE2,3.55,0.0,2.0,5.0
2025-01-01T02:00:00,SE3,2.44,0.0,2.0,0.0
2025-01-01T02:00:00,SE4,2.04,0.0,2.0,0.0
2025-01-01T03:00:00,SE1,3.49,0.0,3.0,0.0
2025-01-01T03:00:00,SE2,3.19,0.0,3.0,0.0
2025-01-01T03:00:00,SE3,1.98,0.0,1.98,0.0
2025-01-01T03:00:00,SE4,1.54,0.0,1.54,0.0
2025-01-01T04:00:00,SE1,3.46,0.0,3.0,0.0
2025-01-01T04:00:00,SE2,3.15,0.0,3.0,0.0
2025-01-01T04:00:00,SE3,1.79,0.0,1.79,0.0
2025-01-01T04:00:00,SE4,1.18,0.0,1.18,0.0
2025-01-01T05:00:00,SE1,3.89,0.0,3.89,0.0
2025-01-01T05:00:00,SE2,3.68,0.0,3.68,0.0
2025-01-01T05:00:00,SE3,2.71,0.0,2.71,0.0
2025-01-01T05:00:00,SE4,2.38,0.0,2.38,0.0
2025-01-01T06:00:00,SE1,3.54,0.0,2.0,4.833
2025-01-01T06:00:00,SE2,3.21,0.0,2.0,2.417
2025-01-01T06:00:00,SE3,1.78,0.0,1.78,0.0
2025-01-01T06:00:00,SE4,1.29,0.0,1.29,0.0
2025-01-01T07:00:00,SE1,3.83,0.0,-1.98,15.333
2025-01-01T07:00:00,SE2,3.48,0.0,-1.98,92.867
2025-01-01T07:00:00,SE3,2.03,0.0,-1.98,0.0
2025-01-01T07:00:00,SE4,1.49,0.0,-1.98,0.0
2025-01-01T08:00:00,SE1,4.67,0.0,-1.0,29.0
2025-01-01T08:00:00,SE2,4.32,0.0,-1.0,156.0
2025-01-01T08:00:00,SE3,2.92,0.0,-1.0,5.0
2025-01-01T08:00:00,SE4,2.4,0.0,-1.0,0.0
2025-01-01T09:00:00,SE1,5.15,0.0,0.0,10.0
2025-01-01T09:00:00,SE2,4.77,0.0,0.0,187.083
2025-01-01T09:00:00,SE3,3.27,0.0,0.0,5.0
2025-01-01T09:00:00,SE4,2.7,0.0,0.0,0.0
2025-01-01T10:00:00,SE1,6.04,0.0,-2.0,32.0
2025-01-01T10:00:00,SE2,5.89,0.0,-2.0,324.583
2025-01-01T10:00:00,SE3,4.29,0.0,-2.0,5.0
2025-01-01T10:00:00,SE4,3.7,0.0,-2.0,0.0
2025-01-01T11:00:00,SE1,6.07,0.0,-1.0,45.333
2025-01-01T11:00:00,SE2,5.98,0.0,-1.0,284.667
2025-01-01T11:00:00,SE3,4.43,0.0,-1.0,5.0
