time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-01T00:00:00,SN1,5.0,81.0,20.0,226.0
2025-01-01T00:00:00,SN2,5.0,83.0,20.0,500.0
2025-01-01T00:00:00,SN3,5.0,298.0,20.0,212.0
2025-01-01T00:00:00,SN4,5.0,3.0,20.0,37.0
2025-01-01T01:00:00,SN1,5.0,81.0,20.0,226.0
2025-01-01T01:00:00,SN2,5.0,83.0,20.0,500.0
2025-01-01T01:00:00,SN3,5.0,298.0,20.0,212.0
2025-01-01T01:00:00,SN4,5.0,3.0,20.0,14.0
2025-01-01T02:00:00,SN1,5.0,84.0,20.0,223.0
2025-01-01T02:00:00,SN2,5.0,88.0,20.0,500.0
2025-01-01T02:00:00,SN3,5.0,308.0,20.0,212.0
2025-01-01T02:00:00,SN4,5.0,3.0,20.0,31.0
2025-01-01T03:00:00,SN1,5.0,99.0,16.0,221.0
2025-01-01T03:00:00,SN2,5.0,88.0,16.0,490.0
2025-01-01T03:00:00,SN3,5.0,308.0,17.0,212.0
2025-01-01T03:00:00,SN4,5.0,3.0,20.0,28.0
2025-01-01T04:00:00,SN1,5.0,98.0,20.0,215.0
2025-01-01T04:00:00,SN2,5.0,88.0,20.0,500.0
2025-01-01T04:00:00,SN3,5.0,308.0,20.0,212.0
2025-01-01T04:00:00,SN4,5.0,3.0,20.0,25.0
2025-01-01T05:00:00,SN1,5.0,31.0,24.13,211.0
2025-01-01T05:00:00,SN2,5.0,88.0,24.13,510.0
2025-01-01T05:00:00,SN3,5.0,298.0,20.0,212.0
2025-01-01T05:00:00,SN4,5.9,3.0,20.0,28.0
2025-01-01T06:00:00,SN1,4.0,31.0,20.0,211.0
2025-01-01T06:00:00,SN2,4.0,73.0,20.0,546.0
2025-01-01T06:00:00,SN3,4.0,313.0,20.0,212.0
2025-01-01T06:00:00,SN4,8.31,3.0,20.0,4.0
2025-01-01T07:00:00,SN1,4.0,31.0,17.78,210.0
2025-01-01T07:00:00,SN2,4.0,73.0,17.78,549.0
2025-01-01T07:00:00,SN3,4.0,313.0,17.78,212.0
2025-01-01T07:00:00,SN4,8.31,3.0,17.78,4.0
2025-01-01T08:00:00,SN1,4.0,31.0,11.0,218.0
2025-01-01T08:00:00,SN2,4.0,73.0,11.0,531.0
2025-01-01T08:00:00,SN3,4.0,313.0,5.0,156.0
2025-01-01T08:00:00,SN4,8.31,3.0,5.0,84.0
2025-01-01T09:00:00,SN1,2.0,31.0,13.0,182.0
2025-01-01T09:00:00,SN2,2.0,58.0,13.0,561.0
2025-01-01T09:00:00,SN3,2.0,328.0,5.0,156.0
2025-01-01T09:00:00,SN4,8.31,3.0,5.0,84.0
2025-01-01T10:00:00,SN1,4.0,31.0,13.0,184.0
2025-01-01T10:00:00,SN2,4.0,73.0,10.0,566.0
2025-01-01T10:00:00,SN3,4.0,313.0,5.0,156.0
2025-01-01T10:00:00,SN4,8.31,3.0,5.0,84.0
2025-01-01T11:00:00,SN1,5.0,31.0,13.0,185.0
