time_start,time_end,SEK_per_kWh,EUR_per_kWh,EXR
2022-01-01T00:00:00+01:00,2022-01-01T01:00:00+01:00,0.47957,0.0466,10.291223
2022-01-01T01:00:00+01:00,2022-01-01T02:00:00+01:00,0.42534,0.04133,10.291223
2022-01-01T02:00:00+01:00,2022-01-01T03:00:00+01:00,0.43408,0.04218,10.291223
2022-01-01T03:00:00+01:00,2022-01-01T04:00:00+01:00,0.45662,0.04437,10.291223
2022-01-01T04:00:00+01:00,2022-01-01T05:00:00+01:00,0.38767,0.03767,10.291223
2022-01-01T05:00:00+01:00,2022-01-01T06:00:00+01:00,0.40856,0.0397,10.291223
2022-01-01T06:00:00+01:00,2022-01-01T07:00:00+01:00,0.41772,0.04059,10.291223
2022-01-01T07:00:00+01:00,2022-01-01T08:00:00+01:00,0.4452,0.04326,10.291223
2022-01-01T08:00:00+01:00,2022-01-01T09:00:00+01:00,0.51106,0.04966,10.291223
2022-01-01T09:00:00+01:00,2022-01-01T10:00:00+01:00,0.7209,0.07005,10.291223
2022-01-01T10:00:00+01:00,2022-01-01T11:00:00+01:00,0.79026,0.07679,10.291223
2022-01-01T11:00:00+01:00,2022-01-01T12:00:00+01:00,0.86549,0.0841,10.291223
2022-01-01T12:00:00+01:00,2022-01-01T13:00:00+01:00,0.97499,0.09474,10.291223
2022-01-01T13:00:00+01:00,2022-01-01T14:00:00+01:00,0.99619,0.0968,10.291223
2022-01-01T14:00:00+01:00,2022-01-01T15:00:00+01:00,1,0.09717,10.291223
2022-01-01T15:00:00+01:00,2022-01-01T16:00:00+01:00,1.04219,0.10127,10.291223
2022-01-01T16:00:00+01:00,2022-01-01T17:00:00+01:00,1.30287,0.1266,10.291223
2022-01-01T17:00:00+01:00,2022-01-01T18:00:00+01:00,1.54337,0.14997,10.291223
2022-01-01T18:00:00+01:00,2022-01-01T19:00:00+01:00,1.50591,0.14633,10.291223
2022-01-01T19:00:00+01:00,2022-01-01T20:00:00+01:00,1.44365,0.14028,10.291223
2022-01-01T20:00:00+01:00,2022-01-01T21:00:00+01:00,1.25429,0.12188,10.291223
2022-01-01T21:00:00+01:00,2022-01-01T22:00:00+01:00,1.05598,0.10261,10.291223
2022-01-01T22:00:00+01:00,2022-01-01T23:00:00+01:00,0.9789,0.09512,10.291223
2022-01-01T23:00:00+01:00,2022-01-02T00:00:00+01:00,0.8553,0.08311,10.291223
2022-01-02T00:00:00+01:00,2022-01-02T01:00:00+01:00,0.35731,0.03473,10.288325
2022-01-02T01:00:00+01:00,2022-01-02T02:00:00+01:00,0.35382,0.03439,10.288325
2022-01-02T02:00:00+01:00,2022-01-02T03:00:00+01:00,0.35351,0.03436,10.288325
2022-01-02T03:00:00+01:00,2022-01-02T04:00:00+01:00,0.35083,0.0341,10.288325
2022-01-02T04:00:00+01:00,2022-01-02T05:00:00+01:00,0.30412,0.02956,10.288325
2022-01-02T05:00:00+01:00,2022-01-02T06:00:00+01:00,0.34949,0.03397,10.288325
2022-01-02T06:00:00+01:00,2022-01-02T07:00:00+01:00,0.35515,0.03452,10.288325
2022-01-02T07:00:00+01:00,2022-01-02T08:00:00+01:00,0.43005,0.0418,10.288325
2022-01-02T08:00:00+01:00,2022-01-02T09:00:00+01:00,0.50361,0.04895,10.288325
2022-01-02T09:00:00+01:00,2022-01-02T10:00:00+01:00,0.6174,0.06001,10.288325
2022-01-02T10:00:00+01:00,2022-01-02T11:00:00+01:00,0.72111,0.07009,10.288325
2022-01-02T11:00:00+01:00,2022-01-02T12:00:00+01:00,0.6817,0.06626,10.288325
2022-01-02T12:00:00+01:00,2022-01-02T13:00:00+01:00,0.66401,0.06454,10.288325
2022-01-02T13:00:00+01:00,2022-01-02T14:00:00+01:00,0.48314,0.04696,10.288325
2022-01-02T14:00:00+01:00,2022-01-02T15:00:00+01:00,0.50475,0.04906,10.288325
2022-01-02T15:00:00+01:00,2022-01-02T16:00:00+01:00,0.77152,0.07499,10.288325
2022-01-02T16:00:00+01:00,2022-01-02T17:00:00+01:00,0.90692,0.08815,10.288325
2022-01-02T17:00:00+01:00,2022-01-02T18:00:00+01:00,0.98151,0.0954,10.288325
2022-01-02T18:00:00+01:00,2022-01-02T19:00:00+01:00,0.8921,0.08671,10.288325
2022-01-02T19:00:00+01:00,2022-01-02T20:00:00+01:00,0.73325,0.07127,10.288325
2022-01-02T20:00:00+01:00,2022-01-02T21:00:00+01:00,0.5568,0.05412,10.288325
2022-01-02T21:00:00+01:00,2022-01-02T22:00:00+01:00,0.47491,0.04616,10.288325
2022-01-02T22:00:00+01:00,2022-01-02T23:00:00+01:00,0.47625,0.04629,10.288325
2022-01-02T23:00:00+01:00,2022-01-03T00:00:00+01:00,0.33879,0.03293,10.288325
2022-01-03T00:00:00+01:00,2022-01-03T01:00:00+01:00,0.13586,0.0132,10.29221
