date,inverter_name,energy_kwh,max_power_kw,rated_kw,capacity_factor_pct
2026-01-23,AGR-TS1-INV01,32.99,10.11,253.0,0.54
2026-01-23,AGR-TS1-INV02,32.71,10.09,253.0,0.54
2026-01-23,AGR-TS1-INV03,32.38,10.04,253.0,0.53
2026-01-23,AGR-TS1-INV04,32.86,10.15,253.0,0.54
2026-01-23,AGR-TS1-INV05,33.14,10.16,253.0,0.55
2026-01-23,AGR-TS1-INV06,33.11,10.12,253.0,0.55
2026-01-23,AGR-TS2-INV01,33.9,10.48,253.0,0.56
2026-01-23,AGR-TS2-INV02,32.62,10.09,253.0,0.54
2026-01-23,AGR-TS2-INV03,32.04,10.01,253.0,0.53
2026-01-23,AGR-TS2-INV04,32.47,10.15,253.0,0.53
2026-01-23,AGR-TS2-INV05,32.16,10.02,253.0,0.53
2026-01-23,AGR-TS2-INV06,32.1,10.04,253.0,0.53
2026-01-23,AGR-TS3-INV01,32.16,10.06,253.0,0.53
2026-01-23,AGR-TS3-INV02,32.31,10.11,253.0,0.53
2026-01-23,AGR-TS3-INV03,32.26,10.11,253.0,0.53
2026-01-23,AGR-TS3-INV04,30.59,9.59,253.0,0.5
2026-01-23,AGR-TS3-INV05,0.0,0.0,253.0,0.0
2026-01-23,AGR-TS3-INV06,32.59,10.23,253.0,0.54
2026-01-23,AGR-TS4-INV01,29.14,9.54,253.0,0.48
2026-01-23,AGR-TS4-INV02,31.22,10.01,253.0,0.51
2026-01-23,AGR-TS4-INV03,31.44,10.06,253.0,0.52
2026-01-23,AGR-TS4-INV04,32.25,10.26,253.0,0.53
2026-01-23,AGR-TS4-INV05,31.94,10.08,253.0,0.53
2026-01-23,AGR-TS4-INV06,26.82,8.64,253.0,0.44
2026-01-24,AGR-TS1-INV01,21.87,8.11,253.0,0.36
2026-01-24,AGR-TS1-INV02,21.96,7.92,253.0,0.36
2026-01-24,AGR-TS1-INV03,20.41,7.66,253.0,0.34
2026-01-24,AGR-TS1-INV04,19.47,7.18,253.0,0.32
2026-01-24,AGR-TS1-INV05,22.07,8.38,253.0,0.36
2026-01-24,AGR-TS1-INV06,22.62,8.59,253.0,0.37
2026-01-24,AGR-TS2-INV01,20.92,7.87,253.0,0.34
2026-01-24,AGR-TS2-INV02,19.68,7.33,253.0,0.32
2026-01-24,AGR-TS2-INV03,18.01,6.59,253.0,0.3
2026-01-24,AGR-TS2-INV04,17.82,6.67,253.0,0.29
2026-01-24,AGR-TS2-INV05,20.05,7.3,253.0,0.33
2026-01-24,AGR-TS2-INV06,20.3,7.58,253.0,0.33
2026-01-24,AGR-TS3-INV01,19.39,7.11,253.0,0.32
2026-01-24,AGR-TS3-INV02,20.42,7.33,253.0,0.34
2026-01-24,AGR-TS3-INV03,19.08,6.71,253.0,0.31
2026-01-24,AGR-TS3-INV04,17.9,6.52,253.0,0.29
2026-01-24,AGR-TS3-INV05,0.0,0.0,253.0,0.0
2026-01-24,AGR-TS3-INV06,22.16,8.33,253.0,0.36
2026-01-24,AGR-TS4-INV01,18.91,7.35,253.0,0.31
2026-01-24,AGR-TS4-INV02,19.15,7.34,253.0,0.32
2026-01-24,AGR-TS4-INV03,20.73,8.1,253.0,0.34
2026-01-24,AGR-TS4-INV04,21.41,8.21,253.0,0.35
2026-01-24,AGR-TS4-INV05,20.41,7.82,253.0,0.34
2026-01-24,AGR-TS4-INV06,16.31,6.39,253.0,0.27
2026-01-25,AGR-TS1-INV01,45.99,12.07,253.0,0.76
2026-01-25,AGR-TS1-INV02,47.02,12.47,253.0,0.77
2026-01-25,AGR-TS1-INV03,44.92,11.89,253.0,0.74
2026-01-25,AGR-TS1-INV04,43.09,11.26,253.0,0.71
2026-01-25,AGR-TS1-INV05,44.35,11.68,253.0,0.73
2026-01-25,AGR-TS1-INV06,43.71,11.6,253.0,0.72
2026-01-25,AGR-TS2-INV01,44.28,11.56,253.0,0.73
2026-01-25,AGR-TS2-INV02,43.04,11.35,253.0,0.71
2026-01-25,AGR-TS2-INV03,40.4,10.57,253.0,0.67
2026-01-25,AGR-TS2-INV04,38.4,10.13,253.0,0.63
2026-01-25,AGR-TS2-INV05,42.93,11.33,253.0,0.71
2026-01-25,AGR-TS2-INV06,42.5,11.29,253.0,0.7
2026-01-25,AGR-TS3-INV01,40.93,10.85,253.0,0.67
2026-01-25,AGR-TS3-INV02,42.6,11.29,253.0,0.7
2026-01-25,AGR-TS3-INV03,43.5,11.58,253.0,0.72
2026-01-25,AGR-TS3-INV04,39.6,10.48,253.0,0.65
2026-01-25,AGR-TS3-INV05,0.0,0.0,253.0,0.0
2026-01-25,AGR-TS3-INV06,44.64,11.84,253.0,0.74
2026-01-25,AGR-TS4-INV01,29.51,7.94,253.0,0.49
2026-01-25,AGR-TS4-INV02,33.37,8.93,253.0,0.55
2026-01-25,AGR-TS4-INV03,38.17,10.21,253.0,0.63
2026-01-25,AGR-TS4-INV04,41.02,10.76,253.0,0.68
2026-01-25,AGR-TS4-INV05,39.58,10.46,253.0,0.65
2026-01-25,AGR-TS4-INV06,31.0,8.32,253.0,0.51
2026-01-26,AGR-TS1-INV01,53.48,13.32,253.0,0.88
2026-01-26,AGR-TS1-INV02,53.56,13.34,253.0,0.88
2026-01-26,AGR-TS1-INV03,52.51,13.06,253.0,0.86
2026-01-26,AGR-TS1-INV04,51.97,12.82,253.0,0.86
2026-01-26,AGR-TS1-INV05,52.58,13.02,253.0,0.87
2026-01-26,AGR-TS1-INV06,51.31,12.74,253.0,0.85
2026-01-26,AGR-TS2-INV01,54.0,13.37,253.0,0.89
2026-01-26,AGR-TS2-INV02,52.03,12.82,253.0,0.86
