inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
AGR-TS4-INV03,Alarm0034,34,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 2 PV volt high
AGR-TS4-INV03,Alarm0035,35,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 3 PV volt high
AGR-TS4-INV03,Alarm0037,37,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 5 PV volt high
AGR-TS4-INV03,Alarm0038,38,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 6 PV volt high
AGR-TS4-INV03,Alarm0039,39,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 7 PV volt high
AGR-TS4-INV03,Alarm0040,40,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:12.7750000Z,0.0,MPPT 8 PV volt high
AGR-TS4-INV03,Alarm0014,14,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:11.6760000Z,0.0,AC volt low
AGR-TS4-INV03,Alarm0015,15,Alarm,2026-01-23T12:32:43.7740000Z,2026-01-23T12:33:11.6760000Z,0.0,AC volt high
AGR-TS4-INV05,Alarm0034,34,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 2 PV volt high
AGR-TS4-INV05,Alarm0035,35,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 3 PV volt high
AGR-TS4-INV05,Alarm0037,37,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 5 PV volt high
AGR-TS4-INV05,Alarm0038,38,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 6 PV volt high
AGR-TS4-INV05,Alarm0039,39,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 7 PV volt high
AGR-TS4-INV05,Alarm0040,40,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 8 PV volt high
AGR-TS4-INV05,Alarm0044,44,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,MPPT 12 PV volt high
AGR-TS4-INV05,Alarm0015,15,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,AC volt high
AGR-TS4-INV05,Alarm0014,14,Alarm,2026-01-23T12:36:32.8740000Z,2026-01-23T12:37:13.8750000Z,0.0,AC volt low
AGR-TS1-INV01,Alarm0005,5,Alarm,2026-02-02T11:52:55.2750000Z,2026-02-02T12:51:59.3760000Z,0.0,Grid abnormal
AGR-TS1-INV01,Alarm0014,14,Alarm,2026-02-02T11:52:55.2750000Z,2026-02-02T12:51:59.3760000Z,0.0,AC volt low
AGR-TS1-INV01,Alarm0012,12,Alarm,2026-02-02T11:52:55.2750000Z,2026-02-02T12:51:59.3760000Z,0.0,AC voltage abnormal
AGR-TS1-INV02,Alarm0005,5,Alarm,2026-02-02T11:52:57.2750000Z,2026-02-02T12:01:29.3750000Z,0.0,Grid abnormal
AGR-TS1-INV02,Alarm0012,12,Alarm,2026-02-02T11:52:57.2750000Z,2026-02-02T12:01:29.3750000Z,0.0,AC voltage abnormal
AGR-TS1-INV02,Alarm0014,14,Alarm,2026-02-02T11:52:57.2750000Z,2026-02-02T12:01:29.3750000Z,0.0,AC volt low
AGR-TS1-INV03,Alarm0005,5,Alarm,2026-02-02T11:53:00.3750000Z,2026-02-02T14:10:01.6750000Z,0.0,Grid abnormal
AGR-TS1-INV03,Alarm0014,14,Alarm,2026-02-02T11:53:00.3750000Z,2026-02-02T14:10:01.6750000Z,0.0,AC volt low
AGR-TS1-INV03,Alarm0012,12,Alarm,2026-02-02T11:53:00.3750000Z,2026-02-02T14:10:01.6750000Z,0.0,AC voltage abnormal
AGR-TS1-INV04,Alarm0005,5,Alarm,2026-02-02T11:53:02.3750000Z,2026-02-02T14:25:04.5750000Z,0.0,Grid abnormal
AGR-TS1-INV04,Alarm0012,12,Alarm,2026-02-02T11:53:02.3750000Z,2026-02-02T14:25:04.5750000Z,0.0,AC voltage abnormal
AGR-TS1-INV04,Alarm0014,14,Alarm,2026-02-02T11:53:02.3750000Z,2026-02-02T14:25:04.5750000Z,0.0,AC volt low
AGR-TS1-INV05,Alarm0005,5,Alarm,2026-02-02T11:53:04.3750000Z,2026-02-02T16:06:40.8750000Z,0.0,Grid abnormal
AGR-TS1-INV05,Alarm0014,14,Alarm,2026-02-02T11:53:04.3750000Z,2026-02-02T16:06:40.8750000Z,0.0,AC volt low
AGR-TS1-INV05,Alarm0012,12,Alarm,2026-02-02T11:53:04.3750000Z,2026-02-02T16:06:40.8750000Z,0.0,AC voltage abnormal
AGR-TS1-INV06,Alarm0005,5,Alarm,2026-02-02T11:53:06.3750000Z,2026-02-02T13:21:05.5740000Z,0.0,Grid abnormal
AGR-TS1-INV06,Alarm0014,14,Alarm,2026-02-02T11:53:06.3750000Z,2026-02-02T13:21:05.5740000Z,0.0,AC volt low
AGR-TS1-INV06,Alarm0012,12,Alarm,2026-02-02T11:53:06.3750000Z,2026-02-02T13:21:05.5740000Z,0.0,AC voltage abnormal
AGR-TS1-INV02,Alarm_0,0,Alarm,2026-02-02T13:42:19.6750000Z,2026-02-03T06:19:38.0750000Z,0.0,Test of the alarm Alarm_notification_path. The CommunicationState tag == 4 (Offline) The CommunicationState tag == 4 (Offline)
AGR-TS1-INV01,Alarm_0,0,Alarm,2026-02-02T14:32:19.6910000Z,2026-02-03T07:17:27.3740000Z,0.0,Test of the alarm Alarm_notification_path. The CommunicationState tag == 4 (Offline) The CommunicationState tag == 4 (Offline)
AGR-TS1-INV03,Alarm_0,0,Alarm,2026-02-02T15:50:19.6980000Z,2026-02-03T08:51:06.9740000Z,0.0,Test of the alarm Alarm_notification_path. The CommunicationState tag == 4 (Offline) The CommunicationState tag == 4 (Offline)
AGR-TS1-INV02,Alarm0005,5,Alarm,2026-02-03T06:19:38.0750000Z,2026-02-03T06:21:55.4750000Z,0.0,Grid abnormal
AGR-TS1-INV02,Alarm0014,14,Alarm,2026-02-03T06:19:38.0750000Z,2026-02-03T06:21:55.4750000Z,0.0,AC volt low
AGR-TS1-INV02,Alarm0012,12,Alarm,2026-02-03T06:19:38.0750000Z,2026-02-03T06:21:55.4750000Z,0.0,AC voltage abnormal
AGR-TS1-INV05,Alarm0005,5,Alarm,2026-02-03T06:22:30.7750000Z,2026-02-03T09:27:40.6750000Z,0.0,Grid abnormal
AGR-TS1-INV05,Alarm0012,12,Alarm,2026-02-03T06:22:30.7750000Z,2026-02-03T09:27:40.6750000Z,0.0,AC voltage abnormal
AGR-TS1-INV05,Alarm0014,14,Alarm,2026-02-03T06:22:30.7750000Z,2026-02-03T09:27:40.6750000Z,0.0,AC volt low
AGR-TS1-INV02,Alarm0005,5,Alarm,2026-02-03T06:23:04.1740000Z,2026-02-03T09:27:20.4750000Z,0.0,Grid abnormal
AGR-TS1-INV02,Alarm0012,12,Alarm,2026-02-03T06:23:04.1740000Z,2026-02-03T09:26:54.2740000Z,0.0,AC voltage abnormal
AGR-TS1-INV02,Alarm0014,14,Alarm,2026-02-03T06:23:04.1740000Z,2026-02-03T09:27:20.4750000Z,0.0,AC volt low
AGR-TS1-INV01,Alarm0005,5,Alarm,2026-02-03T07:17:27.3740000Z,2026-02-03T09:27:18.4750000Z,0.0,Grid abnormal
AGR-TS1-INV01,Alarm0012,12,Alarm,2026-02-03T07:17:27.3740000Z,2026-02-03T09:26:51.1740000Z,0.0,AC voltage abnormal
AGR-TS1-INV01,Alarm0014,14,Alarm,2026-02-03T07:17:27.3740000Z,2026-02-03T09:27:18.4750000Z,0.0,AC volt low
AGR-TS1-INV02,Alarm_0,0,Alarm,2026-02-03T08:07:19.9460000Z,2026-02-03T09:26:53.2750000Z,0.0,Test of the alarm Alarm_notification_path. The CommunicationState tag == 4 (Offline) The CommunicationState tag == 4 (Offline)
AGR-TS1-INV06,Alarm0005,5,Alarm,2026-02-03T08:11:41.5750000Z,2026-02-03T09:27:43.7740000Z,0.0,Grid abnormal
AGR-TS1-INV06,Alarm0012,12,Alarm,2026-02-03T08:11:41.5750000Z,2026-02-03T09:27:43.7740000Z,0.0,AC voltage abnormal
AGR-TS1-INV06,Alarm0014,14,Alarm,2026-02-03T08:11:41.5750000Z,2026-02-03T09:27:43.7740000Z,0.0,AC volt low
AGR-TS1-INV03,Alarm0005,5,Alarm,2026-02-03T08:51:06.9740000Z,2026-02-03T09:27:22.5760000Z,0.0,Grid abnormal
AGR-TS1-INV03,Alarm0012,12,Alarm,2026-02-03T08:51:06.9740000Z,2026-02-03T09:27:22.5760000Z,0.0,AC voltage abnormal
AGR-TS1-INV03,Alarm0014,14,Alarm,2026-02-03T08:51:06.9740000Z,2026-02-03T09:27:22.5760000Z,0.0,AC volt low
AGR-TS1-INV01,Alarm_0,0,Alarm,2026-02-03T09:28:11.9740000Z,2026-02-03T09:28:39.2750000Z,0.0, 
AGR-TS1-INV02,Alarm_0,0,Alarm,2026-02-03T09:28:14.0740000Z,2026-02-03T09:28:40.2750000Z,0.0, 
AGR-TS1-INV03,Alarm_0,0,Alarm,2026-02-03T09:28:16.0760000Z,2026-02-03T09:28:41.2740000Z,0.0, 
AGR-TS2-INV01,Alarm0005,5,Alarm,2026-02-03T09:38:39.1750000Z,2026-02-03T09:46:03.5740000Z,0.0,Grid abnormal
AGR-TS2-INV01,Alarm0012,12,Alarm,2026-02-03T09:38:39.1750000Z,2026-02-03T09:46:03.5740000Z,0.0,AC voltage abnormal
AGR-TS2-INV01,Alarm0014,14,Alarm,2026-02-03T09:38:39.1750000Z,2026-02-03T09:46:03.5740000Z,0.0,AC volt low
AGR-TS2-INV02,Alarm0005,5,Alarm,2026-02-03T09:38:41.1750000Z,2026-02-03T14:42:36.5750000Z,0.0,Grid abnormal
AGR-TS2-INV02,Alarm0012,12,Alarm,2026-02-03T09:38:41.1750000Z,2026-02-03T14:42:36.5750000Z,0.0,AC voltage abnormal
AGR-TS2-INV02,Alarm0014,14,Alarm,2026-02-03T09:38:41.1750000Z,2026-02-03T14:42:36.5750000Z,0.0,AC volt low
AGR-TS2-INV03,Alarm0005,5,Alarm,2026-02-03T09:38:43.2740000Z,2026-02-03T14:42:38.6750000Z,0.0,Grid abnormal
AGR-TS2-INV03,Alarm0012,12,Alarm,2026-02-03T09:38:43.2740000Z,2026-02-03T14:42:38.6750000Z,0.0,AC voltage abnormal
AGR-TS2-INV03,Alarm0014,14,Alarm,2026-02-03T09:38:43.2740000Z,2026-02-03T14:42:38.6750000Z,0.0,AC volt low
AGR-TS2-INV03,Alarm0015,15,Alarm,2026-02-03T09:38:43.2740000Z,2026-02-03T09:38:56.3750000Z,0.0,AC volt high
AGR-TS2-INV04,Alarm0005,5,Alarm,2026-02-03T09:38:45.2750000Z,2026-02-03T11:22:10.6740000Z,0.0,Grid abnormal
AGR-TS2-INV04,Alarm0012,12,Alarm,2026-02-03T09:38:45.2750000Z,2026-02-03T11:22:10.6740000Z,0.0,AC voltage abnormal
AGR-TS2-INV04,Alarm0014,14,Alarm,2026-02-03T09:38:45.2750000Z,2026-02-03T11:22:10.6740000Z,0.0,AC volt low
AGR-TS2-INV04,Alarm0015,15,Alarm,2026-02-03T09:38:45.2750000Z,2026-02-03T09:38:58.3740000Z,0.0,AC volt high
