inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
BJK-TS1-INV06,Alarm0005,5,Alarm,2026-04-13T06:26:07.5000000Z,2026-04-13T06:27:22.5000000Z,0.0,Grid abnormal
BJK-TS1-INV06,Alarm0012,12,Alarm,2026-04-13T06:26:07.5000000Z,2026-04-13T06:27:22.5000000Z,0.0,AC voltage abnormal
BJK-TS1-INV08,Alarm0012,12,Alarm,2026-04-13T06:26:08.5000000Z,2026-04-13T06:27:14.5000000Z,0.0,AC voltage abnormal
BJK-TS1-INV08,Alarm0005,5,Alarm,2026-04-13T06:26:08.5000000Z,2026-04-13T06:27:14.5000000Z,0.0,Grid abnormal
BJK-TS2-INV02,Alarm0005,5,Alarm,2026-04-13T06:26:09.5000000Z,2026-04-13T06:28:16.5000000Z,0.0,Grid abnormal
BJK-TS2-INV02,Alarm0012,12,Alarm,2026-04-13T06:26:09.5000000Z,2026-04-13T06:28:16.5000000Z,0.0,AC voltage abnormal
BJK-TS2-INV05,Alarm0012,12,Alarm,2026-04-13T06:26:09.5000000Z,2026-04-13T06:27:20.5000000Z,0.0,AC voltage abnormal
BJK-TS2-INV05,Alarm0005,5,Alarm,2026-04-13T06:26:09.5000000Z,2026-04-13T06:27:20.5000000Z,0.0,Grid abnormal
BJK-TS1-INV02,Alarm0012,12,Alarm,2026-04-13T06:26:10.5000000Z,2026-04-13T06:28:17.5000000Z,0.0,AC voltage abnormal
BJK-TS1-INV02,Alarm0005,5,Alarm,2026-04-13T06:26:10.5000000Z,2026-04-13T06:31:59.5070000Z,0.0,Grid abnormal
BJK-TS2-INV06,Alarm0012,12,Alarm,2026-04-13T06:26:10.5000000Z,2026-04-13T06:27:11.5000000Z,0.0,AC voltage abnormal
BJK-TS2-INV06,Alarm0005,5,Alarm,2026-04-13T06:26:10.5000000Z,2026-04-13T06:27:11.5000000Z,0.0,Grid abnormal
BJK-TS2-INV03,Alarm0012,12,Alarm,2026-04-13T06:26:11.5000000Z,2026-04-13T06:27:17.5000000Z,0.0,AC voltage abnormal
BJK-TS2-INV03,Alarm0005,5,Alarm,2026-04-13T06:26:11.5000000Z,2026-04-13T06:27:17.5000000Z,0.0,Grid abnormal
BJK-TS1-INV01,Alarm0012,12,Alarm,2026-04-13T06:26:13.5000000Z,2026-04-13T06:28:29.5000000Z,0.0,AC voltage abnormal
BJK-TS1-INV01,Alarm0005,5,Alarm,2026-04-13T06:26:13.5000000Z,2026-04-13T06:31:55.5070000Z,0.0,Grid abnormal
BJK-TS2-INV07,Alarm0012,12,Alarm,2026-04-13T06:26:13.5000000Z,2026-04-13T06:31:36.5070000Z,0.0,AC voltage abnormal
BJK-TS2-INV07,Alarm0005,5,Alarm,2026-04-13T06:26:13.5000000Z,2026-04-13T06:31:47.5070000Z,0.0,Grid abnormal
BJK-TS2-INV04,Alarm0012,12,Alarm,2026-04-13T06:26:14.5010000Z,2026-04-13T06:27:11.5000000Z,0.0,AC voltage abnormal
BJK-TS2-INV04,Alarm0005,5,Alarm,2026-04-13T06:26:14.5010000Z,2026-04-13T06:27:11.5000000Z,0.0,Grid abnormal
BJK-TS1-INV03,Alarm0012,12,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:28:20.5000000Z,0.0,AC voltage abnormal
BJK-TS1-INV03,Alarm0005,5,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:31:46.5070000Z,0.0,Grid abnormal
BJK-TS2-INV01,Alarm0012,12,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:31:35.5070000Z,0.0,AC voltage abnormal
BJK-TS2-INV01,Alarm0005,5,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:31:53.5070000Z,0.0,Grid abnormal
BJK-TS2-INV08,Alarm0012,12,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:31:38.5070000Z,0.0,AC voltage abnormal
BJK-TS2-INV08,Alarm0005,5,Alarm,2026-04-13T06:26:15.5000000Z,2026-04-13T06:31:50.5070000Z,0.0,Grid abnormal
BJK-TS1-INV07,Alarm0005,5,Alarm,2026-04-13T06:26:16.5000000Z,2026-04-13T06:27:11.5000000Z,0.0,Grid abnormal
BJK-TS1-INV07,Alarm0012,12,Alarm,2026-04-13T06:26:16.5000000Z,2026-04-13T06:27:11.5000000Z,0.0,AC voltage abnormal
