date,inverter_name,energy_kwh,max_power_kw,rated_kw,capacity_factor_pct
2026-01-23,FJL-TS1-INV01,15.34,3.61,252.5,0.25
2026-01-23,FJL-TS1-INV02,18.7,4.31,252.5,0.31
2026-01-23,FJL-TS1-INV03,17.07,3.98,252.5,0.28
2026-01-23,FJL-TS1-INV04,11.13,2.68,252.5,0.18
2026-01-23,FJL-TS1-INV05,9.75,2.36,252.5,0.16
2026-01-23,FJL-TS1-INV06,14.22,3.34,252.5,0.23
2026-01-23,FJL-TS1-INV07,13.04,3.08,252.5,0.22
2026-01-23,FJL-TS1-INV08,10.09,2.41,252.5,0.17
2026-01-23,FJL-TS1-INV09,18.94,4.33,252.5,0.31
2026-01-23,FJL-TS1-INV10,14.42,3.36,252.5,0.24
2026-01-23,FJL-TS2-INV01,5.45,1.39,252.5,0.09
2026-01-23,FJL-TS2-INV02,8.66,2.09,252.5,0.14
2026-01-23,FJL-TS2-INV03,11.39,2.69,252.5,0.19
2026-01-23,FJL-TS2-INV04,13.32,3.09,252.5,0.22
2026-01-23,FJL-TS2-INV05,17.08,3.92,252.5,0.28
2026-01-23,FJL-TS2-INV06,8.26,2.0,252.5,0.14
2026-01-23,FJL-TS2-INV07,11.4,2.71,252.5,0.19
2026-01-23,FJL-TS2-INV08,17.0,3.98,252.5,0.28
2026-01-23,FJL-TS2-INV09,11.08,2.66,252.5,0.18
2026-01-23,FJL-TS2-INV10,12.9,3.03,252.5,0.21
2026-01-23,FJL-TS3-INV01,18.68,4.45,252.5,0.31
2026-01-23,FJL-TS3-INV02,18.54,4.36,252.5,0.31
2026-01-23,FJL-TS3-INV03,12.76,3.07,252.5,0.21
2026-01-23,FJL-TS3-INV04,11.83,2.78,252.5,0.2
2026-01-23,FJL-TS3-INV05,13.07,3.14,252.5,0.22
2026-01-23,FJL-TS3-INV06,17.01,3.93,252.5,0.28
2026-01-23,FJL-TS3-INV07,18.57,4.2,252.5,0.31
2026-01-23,FJL-TS3-INV08,18.38,4.2,252.5,0.3
2026-01-23,FJL-TS4-INV01,6.53,1.7,252.5,0.11
2026-01-23,FJL-TS4-INV02,4.49,1.21,252.5,0.07
