date,inverter_name,energy_kwh,max_power_kw,rated_kw,capacity_factor_pct
2026-01-23,HRB-TS1-INV01,30.65,8.36,233.0,0.55
2026-01-23,HRB-TS1-INV02,30.13,8.32,233.0,0.54
2026-01-23,HRB-TS1-INV03,30.56,8.36,233.0,0.55
2026-01-23,HRB-TS1-INV04,30.51,8.34,233.0,0.55
2026-01-23,HRB-TS1-INV05,28.21,7.63,233.0,0.5
2026-01-23,HRB-TS1-INV06,28.42,7.77,233.0,0.51
2026-01-23,HRB-TS1-INV07,28.53,7.77,233.0,0.51
2026-01-23,HRB-TS1-INV08,30.09,8.24,233.0,0.54
2026-01-23,HRB-TS1-INV09,29.84,8.04,233.0,0.53
2026-01-23,HRB-TS1-INV10,30.4,8.35,233.0,0.54
2026-01-23,HRB-TS1-INV11,30.58,8.32,233.0,0.55
2026-01-23,HRB-TS2-INV01,34.33,9.31,248.0,0.58
2026-01-23,HRB-TS2-INV02,31.68,8.67,248.0,0.53
2026-01-23,HRB-TS2-INV03,34.29,9.31,248.0,0.58
2026-01-23,HRB-TS2-INV04,32.32,8.74,248.0,0.54
2026-01-23,HRB-TS2-INV05,31.92,8.71,248.0,0.54
2026-01-23,HRB-TS2-INV06,32.37,8.73,248.0,0.54
2026-01-23,HRB-TS2-INV07,34.2,9.26,248.0,0.57
2026-01-23,HRB-TS2-INV08,32.5,8.82,248.0,0.55
2026-01-23,HRB-TS3-INV01,29.32,7.94,233.0,0.52
2026-01-23,HRB-TS3-INV02,29.07,7.84,233.0,0.52
2026-01-23,HRB-TS3-INV03,28.12,7.58,233.0,0.5
2026-01-23,HRB-TS3-INV04,30.23,8.23,233.0,0.54
2026-01-23,HRB-TS3-INV05,30.51,8.28,233.0,0.55
2026-01-23,HRB-TS3-INV06,28.34,7.68,233.0,0.51
2026-01-23,HRB-TS3-INV07,28.47,7.75,233.0,0.51
2026-01-23,HRB-TS3-INV08,28.38,7.7,233.0,0.51
2026-01-23,HRB-TS3-INV09,30.25,8.23,233.0,0.54
2026-01-23,HRB-TS3-INV10,29.86,8.15,233.0,0.53
2026-01-23,HRB-TS3-INV11,32.49,8.8,233.0,0.58
2026-01-23,HRB-TS4-INV01,30.36,8.22,233.0,0.54
2026-01-23,HRB-TS4-INV02,30.59,8.26,233.0,0.55
2026-01-23,HRB-TS4-INV03,30.44,8.24,233.0,0.54
2026-01-23,HRB-TS4-INV04,27.89,7.56,233.0,0.5
2026-01-23,HRB-TS4-INV05,27.87,7.6,233.0,0.5
2026-01-23,HRB-TS4-INV06,30.07,8.15,233.0,0.54
2026-01-23,HRB-TS4-INV07,30.17,8.16,233.0,0.54
2026-01-23,HRB-TS4-INV08,27.96,7.62,233.0,0.5
2026-01-23,HRB-TS4-INV09,28.08,7.69,233.0,0.5
2026-01-23,HRB-TS4-INV10,27.66,7.55,233.0,0.49
2026-01-23,HRB-TS4-INV11,27.96,7.65,233.0,0.5
2026-01-23,HRB-TS5-INV01,32.11,8.68,248.0,0.54
2026-01-23,HRB-TS5-INV02,31.9,8.56,248.0,0.54
2026-01-23,HRB-TS5-INV03,30.26,8.16,248.0,0.51
2026-01-23,HRB-TS5-INV04,31.9,8.55,248.0,0.54
2026-01-23,HRB-TS5-INV05,33.75,9.08,248.0,0.57
2026-01-23,HRB-TS5-INV06,31.65,8.55,248.0,0.53
2026-01-23,HRB-TS5-INV07,32.04,8.65,248.0,0.54
2026-01-23,HRB-TS5-INV08,29.88,8.23,248.0,0.5
2026-01-23,HRB-TS5-INV09,32.93,8.87,248.0,0.55
2026-01-23,HRB-TS5-INV10,34.0,9.14,248.0,0.57
2026-01-24,HRB-TS1-INV01,55.72,18.61,233.0,1.0
2026-01-24,HRB-TS1-INV02,55.19,18.39,233.0,0.99
2026-01-24,HRB-TS1-INV03,55.74,18.52,233.0,1.0
2026-01-24,HRB-TS1-INV04,55.62,18.59,233.0,0.99
2026-01-24,HRB-TS1-INV05,51.65,17.45,233.0,0.92
2026-01-24,HRB-TS1-INV06,51.94,17.49,233.0,0.93
2026-01-24,HRB-TS1-INV07,52.3,17.63,233.0,0.94
2026-01-24,HRB-TS1-INV08,55.03,18.57,233.0,0.98
2026-01-24,HRB-TS1-INV09,54.47,18.37,233.0,0.97
2026-01-24,HRB-TS1-INV10,55.52,18.64,233.0,0.99
2026-01-24,HRB-TS1-INV11,55.68,18.6,233.0,1.0
2026-01-24,HRB-TS2-INV01,62.18,20.72,248.0,1.04
2026-01-24,HRB-TS2-INV02,58.11,19.78,248.0,0.98
2026-01-24,HRB-TS2-INV03,62.26,20.84,248.0,1.05
2026-01-24,HRB-TS2-INV04,58.79,19.8,248.0,0.99
2026-01-24,HRB-TS2-INV05,58.08,19.73,248.0,0.98
2026-01-24,HRB-TS2-INV06,58.75,19.87,248.0,0.99
2026-01-24,HRB-TS2-INV07,61.8,20.59,248.0,1.04
2026-01-24,HRB-TS2-INV08,59.01,19.82,248.0,0.99
2026-01-24,HRB-TS3-INV01,53.56,18.12,233.0,0.96
2026-01-24,HRB-TS3-INV02,53.07,18.09,233.0,0.95
2026-01-24,HRB-TS3-INV03,51.53,17.53,233.0,0.92
2026-01-24,HRB-TS3-INV04,55.15,18.69,233.0,0.99
2026-01-24,HRB-TS3-INV05,55.57,18.86,233.0,0.99
2026-01-24,HRB-TS3-INV06,51.81,17.69,233.0,0.93
2026-01-24,HRB-TS3-INV07,52.0,17.65,233.0,0.93
2026-01-24,HRB-TS3-INV08,51.89,17.7,233.0,0.93
2026-01-24,HRB-TS3-INV09,55.32,18.75,233.0,0.99
2026-01-24,HRB-TS3-INV10,54.58,18.62,233.0,0.98
2026-01-24,HRB-TS3-INV11,58.91,19.79,233.0,1.05
2026-01-24,HRB-TS4-INV01,55.3,18.79,233.0,0.99
2026-01-24,HRB-TS4-INV02,55.52,18.89,233.0,0.99
2026-01-24,HRB-TS4-INV03,55.49,18.94,233.0,0.99
2026-01-24,HRB-TS4-INV04,50.18,17.28,233.0,0.9
2026-01-24,HRB-TS4-INV05,46.6,15.34,233.0,0.83
2026-01-24,HRB-TS4-INV06,54.92,18.9,233.0,0.98
2026-01-24,HRB-TS4-INV07,54.68,18.77,233.0,0.98
2026-01-24,HRB-TS4-INV08,0.0,0.01,233.0,0.0
2026-01-24,HRB-TS4-INV09,51.47,17.75,233.0,0.92
2026-01-24,HRB-TS4-INV10,50.8,17.67,233.0,0.91
2026-01-24,HRB-TS4-INV11,49.85,16.96,233.0,0.89
2026-01-24,HRB-TS5-INV01,58.56,19.87,248.0,0.98
2026-01-24,HRB-TS5-INV02,58.02,19.76,248.0,0.97
2026-01-24,HRB-TS5-INV03,55.08,18.88,248.0,0.93
2026-01-24,HRB-TS5-INV04,56.53,19.02,248.0,0.95
2026-01-24,HRB-TS5-INV05,61.26,20.85,248.0,1.03
2026-01-24,HRB-TS5-INV06,56.07,18.87,248.0,0.94
2026-01-24,HRB-TS5-INV07,58.31,19.84,248.0,0.98
2026-01-24,HRB-TS5-INV08,55.45,19.13,248.0,0.93
2026-01-24,HRB-TS5-INV09,55.08,18.0,248.0,0.93
2026-01-24,HRB-TS5-INV10,60.96,20.57,248.0,1.02
2026-01-25,HRB-TS1-INV01,55.73,21.51,233.0,1.0
2026-01-25,HRB-TS1-INV02,54.64,21.45,233.0,0.98
2026-01-25,HRB-TS1-INV03,55.61,21.53,233.0,0.99
2026-01-25,HRB-TS1-INV04,55.68,21.59,233.0,1.0
2026-01-25,HRB-TS1-INV05,51.94,20.13,233.0,0.93
2026-01-25,HRB-TS1-INV06,52.14,20.33,233.0,0.93
2026-01-25,HRB-TS1-INV07,52.61,20.22,233.0,0.94
2026-01-25,HRB-TS1-INV08,55.5,21.61,233.0,0.99
2026-01-25,HRB-TS1-INV09,54.44,21.31,233.0,0.97
2026-01-25,HRB-TS1-INV10,55.81,21.7,233.0,1.0
2026-01-25,HRB-TS1-INV11,55.89,21.71,233.0,1.0
2026-01-25,HRB-TS2-INV01,62.55,24.32,248.0,1.05
2026-01-25,HRB-TS2-INV02,58.91,23.09,248.0,0.99
2026-01-25,HRB-TS2-INV03,62.77,24.45,248.0,1.05
2026-01-25,HRB-TS2-INV04,59.31,23.11,248.0,1.0
2026-01-25,HRB-TS2-INV05,59.03,23.16,248.0,0.99
2026-01-25,HRB-TS2-INV06,59.84,23.37,248.0,1.01
2026-01-25,HRB-TS2-INV07,62.57,24.43,248.0,1.05
