date,inverter_name,energy_kwh,max_power_kw,rated_kw,capacity_factor_pct
2026-01-23,HOV-TS1-INV01,63.55,15.92,313.0,0.85
2026-01-23,HOV-TS1-INV02,64.47,15.07,313.0,0.86
2026-01-23,HOV-TS1-INV03,61.81,15.71,313.0,0.82
2026-01-23,HOV-TS1-INV04,65.59,15.85,313.0,0.87
2026-01-23,HOV-TS1-INV05,59.84,15.08,312.0,0.8
2026-01-23,HOV-TS1-INV06,61.8,15.42,312.0,0.83
2026-01-23,HOV-TS1-INV07,62.8,15.97,312.0,0.84
2026-01-23,HOV-TS1-INV08,60.29,15.25,312.0,0.81
2026-01-23,HOV-TS2-INV09,48.09,11.85,277.0,0.72
2026-01-23,HOV-TS2-INV10,54.59,13.92,277.0,0.82
2026-01-23,HOV-TS2-INV11,55.16,14.02,278.0,0.83
2026-01-23,HOV-TS2-INV12,59.21,14.81,278.0,0.89
2026-01-23,HOV-TS2-INV13,57.89,14.63,278.0,0.87
2026-01-23,HOV-TS2-INV14,55.25,13.95,278.0,0.83
2026-01-23,HOV-TS2-INV15,55.61,13.97,278.0,0.83
2026-01-23,HOV-TS2-INV16,57.26,14.1,278.0,0.86
2026-01-23,HOV-TS2-INV17,56.86,13.91,278.0,0.85
2026-01-24,HOV-TS1-INV01,57.8,16.5,313.0,0.77
2026-01-24,HOV-TS1-INV02,59.24,15.64,313.0,0.79
2026-01-24,HOV-TS1-INV03,57.0,16.53,313.0,0.76
2026-01-24,HOV-TS1-INV04,59.5,16.24,313.0,0.79
2026-01-24,HOV-TS1-INV05,55.2,15.53,312.0,0.74
2026-01-24,HOV-TS1-INV06,55.9,15.46,312.0,0.75
2026-01-24,HOV-TS1-INV07,57.01,16.13,312.0,0.76
2026-01-24,HOV-TS1-INV08,54.48,15.36,312.0,0.73
2026-01-24,HOV-TS2-INV09,42.1,11.71,277.0,0.63
2026-01-24,HOV-TS2-INV10,46.69,12.99,277.0,0.7
2026-01-24,HOV-TS2-INV11,46.68,nan,278.0,0.7
2026-01-24,HOV-TS2-INV12,51.9,14.31,278.0,0.78
2026-01-24,HOV-TS2-INV13,50.57,14.36,278.0,0.76
2026-01-24,HOV-TS2-INV14,47.91,13.52,278.0,0.72
2026-01-24,HOV-TS2-INV15,48.61,13.72,278.0,0.73
2026-01-24,HOV-TS2-INV16,50.06,13.61,278.0,0.75
2026-01-24,HOV-TS2-INV17,47.9,13.24,278.0,0.72
2026-01-25,HOV-TS1-INV01,79.77,35.47,313.0,1.06
2026-01-25,HOV-TS1-INV02,77.91,31.7,313.0,1.04
2026-01-25,HOV-TS1-INV03,78.92,34.86,313.0,1.05
2026-01-25,HOV-TS1-INV04,78.73,32.4,313.0,1.05
2026-01-25,HOV-TS1-INV05,76.16,33.22,312.0,1.02
2026-01-25,HOV-TS1-INV06,77.56,33.18,312.0,1.04
2026-01-25,HOV-TS1-INV07,79.37,35.1,312.0,1.06
2026-01-25,HOV-TS1-INV08,75.11,33.41,312.0,1.0
2026-01-25,HOV-TS2-INV09,60.14,25.9,277.0,0.9
2026-01-25,HOV-TS2-INV10,64.66,28.68,277.0,0.97
2026-01-25,HOV-TS2-INV11,65.57,28.49,278.0,0.98
2026-01-25,HOV-TS2-INV12,72.94,31.66,278.0,1.09
2026-01-25,HOV-TS2-INV13,69.23,30.02,278.0,1.04
2026-01-25,HOV-TS2-INV14,66.17,28.85,278.0,0.99
2026-01-25,HOV-TS2-INV15,67.15,28.34,278.0,1.01
2026-01-25,HOV-TS2-INV16,69.61,29.74,278.0,1.04
2026-01-25,HOV-TS2-INV17,67.29,27.82,278.0,1.01
2026-01-26,HOV-TS1-INV01,73.56,26.61,313.0,0.98
2026-01-26,HOV-TS1-INV02,70.74,23.32,313.0,0.94
2026-01-26,HOV-TS1-INV03,71.6,24.92,313.0,0.95
2026-01-26,HOV-TS1-INV04,70.88,23.61,313.0,0.94
2026-01-26,HOV-TS1-INV05,68.0,23.85,312.0,0.91
2026-01-26,HOV-TS1-INV06,71.38,24.23,312.0,0.95
2026-01-26,HOV-TS1-INV07,73.85,26.21,312.0,0.99
2026-01-26,HOV-TS1-INV08,71.01,24.95,312.0,0.95
2026-01-26,HOV-TS2-INV09,53.27,16.92,277.0,0.8
2026-01-26,HOV-TS2-INV10,56.91,19.5,277.0,0.86
2026-01-26,HOV-TS2-INV11,58.06,19.86,278.0,0.87
2026-01-26,HOV-TS2-INV12,66.51,22.63,278.0,1.0
2026-01-26,HOV-TS2-INV13,61.85,21.37,278.0,0.93
2026-01-26,HOV-TS2-INV14,58.74,19.99,278.0,0.88
2026-01-26,HOV-TS2-INV15,59.4,19.72,278.0,0.89
2026-01-26,HOV-TS2-INV16,61.88,20.94,278.0,0.93
2026-01-26,HOV-TS2-INV17,60.2,18.85,278.0,0.9
2026-01-27,HOV-TS1-INV01,84.78,18.4,313.0,1.13
2026-01-27,HOV-TS1-INV02,76.31,15.67,313.0,1.02
2026-01-27,HOV-TS1-INV03,78.94,16.94,313.0,1.05
2026-01-27,HOV-TS1-INV04,77.24,15.92,313.0,1.03
2026-01-27,HOV-TS1-INV05,74.08,15.98,312.0,0.99
2026-01-27,HOV-TS1-INV06,80.81,17.12,312.0,1.08
2026-01-27,HOV-TS1-INV07,85.0,18.42,312.0,1.14
2026-01-27,HOV-TS1-INV08,85.66,18.36,312.0,1.14
2026-01-27,HOV-TS2-INV09,55.03,11.62,277.0,0.83
2026-01-27,HOV-TS2-INV10,60.43,13.25,277.0,0.91
2026-01-27,HOV-TS2-INV11,62.41,13.58,278.0,0.94
2026-01-27,HOV-TS2-INV12,73.58,15.57,278.0,1.1
2026-01-27,HOV-TS2-INV13,67.18,14.38,278.0,1.01
2026-01-27,HOV-TS2-INV14,64.06,13.68,278.0,0.96
2026-01-27,HOV-TS2-INV15,64.29,13.7,278.0,0.96
2026-01-27,HOV-TS2-INV16,66.14,14.29,278.0,0.99
2026-01-27,HOV-TS2-INV17,63.67,13.02,278.0,0.95
2026-01-28,HOV-TS1-INV01,157.91,38.03,313.0,2.1
2026-01-28,HOV-TS1-INV02,138.18,32.41,313.0,1.84
2026-01-28,HOV-TS1-INV03,146.34,35.53,313.0,1.95
2026-01-28,HOV-TS1-INV04,126.33,28.9,313.0,1.68
2026-01-28,HOV-TS1-INV05,122.37,28.67,312.0,1.63
2026-01-28,HOV-TS1-INV06,136.2,31.59,312.0,1.82
2026-01-28,HOV-TS1-INV07,151.23,35.78,312.0,2.02
2026-01-28,HOV-TS1-INV08,150.28,35.41,312.0,2.01
2026-01-28,HOV-TS2-INV09,73.58,16.45,277.0,1.11
2026-01-28,HOV-TS2-INV10,87.15,20.31,277.0,1.31
2026-01-28,HOV-TS2-INV11,91.89,nan,278.0,1.38
2026-01-28,HOV-TS2-INV12,117.28,27.2,278.0,1.76
2026-01-28,HOV-TS2-INV13,109.23,25.95,278.0,1.64
2026-01-28,HOV-TS2-INV14,100.43,23.49,278.0,1.51
2026-01-28,HOV-TS2-INV15,96.73,22.01,278.0,1.45
2026-01-28,HOV-TS2-INV16,97.49,22.2,278.0,1.46
2026-01-28,HOV-TS2-INV17,88.86,19.41,278.0,1.33
2026-01-29,HOV-TS1-INV01,116.33,38.84,313.0,1.55
2026-01-29,HOV-TS1-INV02,104.22,33.13,313.0,1.39
2026-01-29,HOV-TS1-INV03,108.2,36.45,313.0,1.44
2026-01-29,HOV-TS1-INV04,95.02,30.45,313.0,1.26
2026-01-29,HOV-TS1-INV05,93.11,31.28,312.0,1.24
2026-01-29,HOV-TS1-INV06,99.27,33.48,312.0,1.33
2026-01-29,HOV-TS1-INV07,110.46,38.06,312.0,1.48
2026-01-29,HOV-TS1-INV08,110.07,37.22,312.0,1.47
2026-01-29,HOV-TS2-INV09,55.22,17.46,277.0,0.83
2026-01-29,HOV-TS2-INV10,65.61,22.35,277.0,0.99
2026-01-29,HOV-TS2-INV11,70.77,nan,278.0,1.06
