inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-23T07:44:17.1550000Z,2026-01-23T15:29:17.2540000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-23T08:32:47.2720000Z,2026-01-23T15:29:18.5050000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-23T08:35:17.2240000Z,2026-01-23T12:57:47.2360000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-24T08:04:17.5140000Z,2026-01-24T15:37:47.6000000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-24T08:07:17.4280000Z,2026-01-24T15:37:17.4980000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-24T09:51:47.4670000Z,2026-01-24T13:23:47.5490000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-25T07:52:17.7930000Z,2026-01-25T15:40:47.8650000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-25T08:17:17.7150000Z,2026-01-25T15:42:17.8220000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-25T08:32:17.6890000Z,2026-01-25T15:40:17.7880000Z,0.0,External Fan Abnormal
HOV-TS1-INV01,AlarmError2086,2086,Alarm,2026-01-25T12:23:47.7020000Z,2026-01-25T15:41:47.7600000Z,0.0,External Fan Abnormal
HOV-TS1-INV08,AlarmError2086,2086,Alarm,2026-01-25T12:24:17.8670000Z,2026-01-25T15:41:47.8200000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-26T08:57:48.0470000Z,2026-01-26T11:45:48.0270000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-26T09:11:59.6690000Z,2026-01-26T13:28:48.0100000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-26T09:16:48.0890000Z,2026-01-26T13:23:48.0810000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-27T08:44:18.1590000Z,2026-01-27T14:11:00.8890000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-27T09:14:48.1570000Z,2026-01-27T13:51:48.2340000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-28T07:40:18.4270000Z,2026-01-28T15:42:54.2100000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-28T07:55:50.0650000Z,2026-01-28T12:19:48.5590000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-28T08:23:18.4550000Z,2026-01-28T10:50:18.4480000Z,0.0,External Fan Abnormal
HOV-TS1-INV01,AlarmError2086,2086,Alarm,2026-01-28T10:53:18.3980000Z,2026-01-28T15:47:18.4880000Z,0.0,External Fan Abnormal
HOV-TS1-INV08,AlarmError2086,2086,Alarm,2026-01-28T11:45:18.4530000Z,2026-01-28T12:17:32.3600000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-28T12:49:20.0810000Z,2026-01-28T15:43:50.0480000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-29T07:44:19.1410000Z,2026-01-29T15:44:48.8980000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-29T07:44:58.6450000Z,2026-01-29T11:26:48.6770000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-29T09:18:18.6270000Z,2026-01-29T14:05:48.6680000Z,0.0,External Fan Abnormal
HOV-TS1-INV01,AlarmError2086,2086,Alarm,2026-01-29T11:27:18.6330000Z,2026-01-29T15:47:48.6630000Z,0.0,External Fan Abnormal
HOV-TS1-INV08,AlarmError2086,2086,Alarm,2026-01-29T11:29:18.6860000Z,2026-01-29T15:47:18.7090000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-30T08:14:18.8640000Z,2026-01-30T10:26:55.0590000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-30T08:23:50.5870000Z,2026-01-30T11:52:18.9960000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-30T08:24:18.8380000Z,2026-01-30T10:41:18.8670000Z,0.0,External Fan Abnormal
HOV-TS1-INV01,AlarmError2086,2086,Alarm,2026-01-30T10:25:48.8460000Z,2026-01-30T15:58:48.9200000Z,0.0,External Fan Abnormal
HOV-TS1-INV08,AlarmError2086,2086,Alarm,2026-01-30T10:35:03.0000000Z,2026-01-30T15:57:18.9860000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-30T10:53:18.8760000Z,2026-01-30T12:20:48.9210000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-30T10:54:18.9050000Z,2026-01-30T12:32:18.9300000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-30T12:32:48.8990000Z,2026-01-30T12:35:48.9170000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-30T12:45:48.9460000Z,2026-01-30T15:58:18.9680000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-30T12:45:51.3520000Z,2026-01-30T15:56:50.5200000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-30T12:47:48.9010000Z,2026-01-30T13:36:18.9420000Z,0.0,External Fan Abnormal
HOV-TS2-INV14,AlarmError2086,2086,Alarm,2026-01-31T07:25:50.2280000Z,2026-01-31T10:23:20.2600000Z,0.0,External Fan Abnormal
HOV-TS2-INV11,AlarmError2086,2086,Alarm,2026-01-31T07:32:49.0980000Z,2026-01-31T16:00:19.1950000Z,0.0,External Fan Abnormal
HOV-TS1-INV07,AlarmError2086,2086,Alarm,2026-01-31T07:45:19.1420000Z,2026-01-31T08:07:20.5880000Z,0.0,External Fan Abnormal
