inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
SKB-TS1-INV01,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:13.3480000Z,,0.0,Fault
SKB-TS1-INV01,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:13.3480000Z,,0.0,TotalFaultBit
SKB-TS1-INV03,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:30.7000000Z,,0.0,Fault
SKB-TS1-INV03,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:30.7000000Z,,0.0,TotalFaultBit
SKB-TS1-INV08,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:31.5050000Z,,0.0,TotalFaultBit
SKB-TS1-INV08,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:31.5050000Z,,0.0,Fault
SKB-TS1-INV07,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:33.1530000Z,,0.0,Fault
SKB-TS1-INV07,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:33.1530000Z,,0.0,TotalFaultBit
SKB-TS1-INV02,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:33.8580000Z,,0.0,Fault
SKB-TS1-INV02,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:33.8580000Z,,0.0,TotalFaultBit
SKB-TS1-INV06,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:35.8190000Z,2026-04-08T13:57:06.5850000Z,0.0,TotalFaultBit
SKB-TS1-INV06,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:35.8190000Z,2026-04-08T13:57:06.5850000Z,0.0,Fault
SKB-TS1-INV01,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:41.4260000Z,,0.0,Fault
SKB-TS1-INV01,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:41.4260000Z,,0.0,TotalFaultBit
SKB-TS1-INV03,AlarmWorkState2-TotalFaultBit,2012,Alarm,2026-03-13T09:44:42.4250000Z,2026-04-23T11:51:01.6070000Z,0.0,TotalFaultBit
SKB-TS1-INV03,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:42.4250000Z,2026-04-23T11:51:01.6070000Z,0.0,Fault
SKB-TS1-INV08,AlarmWorkState2-Fault,2006,Alarm,2026-03-13T09:44:43.1640000Z,2026-04-08T13:57:06.0610000Z,0.0,Fault
