inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-12T09:43:53.3040000Z,2026-03-12T14:41:23.3430000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-12T09:43:53.3670000Z,2026-03-12T14:41:23.4050000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-12T09:43:53.4170000Z,2026-03-12T14:41:23.4500000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-13T08:49:23.9680000Z,2026-03-13T14:40:53.8560000Z,0.0,On-grid: Power limit
STT-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-13T08:49:25.0620000Z,2026-03-13T14:40:54.9100000Z,0.0,On-grid: Power limit
STT-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-13T08:49:25.4300000Z,2026-03-13T14:40:54.9660000Z,0.0,On-grid: Power limit
STT-TS1-INV01,AlarmWorkState1-Shutdown: Fault,300,Alarm,2026-03-26T08:11:13.9240000Z,2026-03-26T08:24:14.0280000Z,0.0,Shutdown: Fault
STT-TS1-INV02,AlarmError2032,2032,Alarm,2026-03-26T08:11:16.6440000Z,2026-03-26T09:05:47.3140000Z,0.0,Grid Loss
STT-TS1-INV02,AlarmWorkState1-Shutdown: Fault,300,Alarm,2026-03-26T08:11:16.6540000Z,2026-03-26T08:19:45.7930000Z,0.0,Shutdown: Fault
STT-TS1-INV03,AlarmError2032,2032,Alarm,2026-03-26T08:11:16.7630000Z,2026-03-26T09:05:14.2280000Z,0.0,Grid Loss
STT-TS1-INV03,AlarmWorkState1-Shutdown: Fault,300,Alarm,2026-03-26T08:11:16.7720000Z,2026-03-26T08:28:14.2960000Z,0.0,Shutdown: Fault
STT-TS1-INV01,AlarmError2032,2032,Alarm,2026-03-26T08:11:43.9180000Z,2026-03-26T09:05:43.9530000Z,0.0,Grid Loss
STT-TS1-INV03,AlarmWorkState1-Shutdown: Fault,300,Alarm,2026-03-26T08:49:44.1710000Z,2026-03-26T09:05:14.2360000Z,0.0,Shutdown: Fault
STT-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-04-01T12:23:48.3390000Z,2026-04-01T12:24:53.0410000Z,0.0,On-grid: Power limit
