date,inverter_name,energy_kwh,max_power_kw,rated_kw,capacity_factor_pct
2026-01-23,TNG-TS1-INV01,59.51,18.23,283.0,0.88
2026-01-23,TNG-TS1-INV02,61.88,18.3,283.0,0.91
2026-01-23,TNG-TS1-INV03,61.71,18.19,283.0,0.91
2026-01-23,TNG-TS1-INV04,62.63,17.94,283.0,0.92
2026-01-23,TNG-TS1-INV05,58.04,17.32,283.0,0.85
2026-01-23,TNG-TS1-INV06,47.73,13.87,260.0,0.76
2026-01-23,TNG-TS1-INV07,60.47,17.59,283.0,0.89
2026-01-23,TNG-TS1-INV08,59.22,17.82,283.0,0.87
2026-01-23,TNG-TS1-INV09,53.41,16.31,282.0,0.79
2026-01-23,TNG-TS2-INV21,60.11,17.48,291.0,0.86
2026-01-23,TNG-TS2-INV22,52.98,15.94,291.0,0.76
2026-01-23,TNG-TS2-INV23,52.9,16.19,291.0,0.76
2026-01-23,TNG-TS2-INV24,56.65,17.04,291.0,0.81
2026-01-23,TNG-TS2-INV25,59.42,17.36,291.0,0.85
2026-01-23,TNG-TS2-INV26,54.97,15.57,290.0,0.79
2026-01-23,TNG-TS2-INV27,37.2,10.87,260.0,0.6
2026-01-24,TNG-TS1-INV01,36.32,11.17,283.0,0.53
2026-01-24,TNG-TS1-INV02,40.1,12.09,283.0,0.59
2026-01-24,TNG-TS1-INV03,39.36,11.63,283.0,0.58
2026-01-24,TNG-TS1-INV04,42.83,11.86,283.0,0.63
2026-01-24,TNG-TS1-INV05,36.71,10.56,283.0,0.54
2026-01-24,TNG-TS1-INV06,30.85,8.95,260.0,0.49
2026-01-24,TNG-TS1-INV07,36.81,10.54,283.0,0.54
2026-01-24,TNG-TS1-INV08,36.43,11.23,283.0,0.54
2026-01-24,TNG-TS1-INV09,27.84,8.77,282.0,0.41
2026-01-24,TNG-TS2-INV21,38.92,11.39,291.0,0.56
2026-01-24,TNG-TS2-INV22,35.05,10.82,291.0,0.5
2026-01-24,TNG-TS2-INV23,28.48,8.5,291.0,0.41
2026-01-24,TNG-TS2-INV24,31.82,9.41,291.0,0.46
2026-01-24,TNG-TS2-INV25,36.48,10.7,291.0,0.52
2026-01-24,TNG-TS2-INV26,37.99,11.12,290.0,0.55
2026-01-24,TNG-TS2-INV27,26.99,8.33,260.0,0.43
2026-01-25,TNG-TS1-INV01,98.02,26.87,283.0,1.44
2026-01-25,TNG-TS1-INV02,100.33,27.39,283.0,1.48
2026-01-25,TNG-TS1-INV03,99.28,27.2,283.0,1.46
2026-01-25,TNG-TS1-INV04,99.21,26.98,283.0,1.46
2026-01-25,TNG-TS1-INV05,84.11,23.12,283.0,1.24
2026-01-25,TNG-TS1-INV06,71.07,19.46,260.0,1.14
2026-01-25,TNG-TS1-INV07,87.3,23.54,283.0,1.29
2026-01-25,TNG-TS1-INV08,92.76,25.65,283.0,1.37
2026-01-25,TNG-TS1-INV09,77.53,21.57,282.0,1.15
2026-01-25,TNG-TS2-INV21,81.59,22.59,291.0,1.17
2026-01-25,TNG-TS2-INV22,71.35,20.18,291.0,1.02
2026-01-25,TNG-TS2-INV23,80.33,22.82,291.0,1.15
2026-01-25,TNG-TS2-INV24,88.02,24.52,291.0,1.26
