inverter_name,event_name,event_code,event_type,time_start_utc,time_end_utc,duration_min,description
TNG-TS2-INV21,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV22,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV23,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV24,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV25,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV26,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS2-INV27,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:36.6530000Z,2026-03-02T10:18:07.5920000Z,0.0,On-grid: Power limit
TNG-TS1-INV01,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV02,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV03,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV04,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV05,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV06,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV07,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
TNG-TS1-INV08,AlarmWorkState1-On-grid: Power limit,201,Alarm,2026-03-02T10:17:41.2320000Z,2026-03-02T10:18:07.5990000Z,0.0,On-grid: Power limit
