zone,period,profile,capture_sek,average_sek,ratio,records
SE3,2024-01,ew_boda,0.8,0.8022,0.997,2976
SE3,2024-01,south_lundby,0.9656,0.8022,1.204,2976
SE3,2024-02,ew_boda,0.5151,0.5041,1.022,2784
SE3,2024-02,south_lundby,0.5546,0.5041,1.1,2784
SE3,2024-03,ew_boda,0.5822,0.5953,0.978,2972
SE3,2024-03,south_lundby,0.5893,0.5953,0.99,2972
SE3,2024-04,ew_boda,0.5843,0.5629,1.038,2880
SE3,2024-04,south_lundby,0.5545,0.5629,0.985,2880
SE3,2024-05,ew_boda,0.2185,0.2372,0.921,2976
SE3,2024-05,south_lundby,0.2088,0.2372,0.88,2976
SE3,2024-06,ew_boda,0.2748,0.273,1.006,2880
SE3,2024-06,south_lundby,0.2525,0.273,0.925,2880
SE3,2024-07,ew_boda,0.2038,0.2072,0.984,2976
SE3,2024-07,south_lundby,0.1913,0.2072,0.923,2976
SE3,2024-08,ew_boda,0.0973,0.0854,1.139,2976
SE3,2024-08,south_lundby,0.0978,0.0854,1.145,2976
SE3,2024-09,ew_boda,0.2075,0.1644,1.262,2880
SE3,2024-09,south_lundby,0.1946,0.1644,1.183,2880
SE3,2024-10,ew_boda,0.2867,0.2299,1.247,2980
SE3,2024-10,south_lundby,0.3194,0.2299,1.389,2980
SE3,2024-11,ew_boda,0.7003,0.6692,1.047,2880
SE3,2024-11,south_lundby,0.8104,0.6692,1.211,2880
SE3,2024-12,ew_boda,0.7928,0.5827,1.361,2976
SE3,2024-12,south_lundby,0.8934,0.5827,1.533,2976
