zone,period,profile,capture_sek,average_sek,ratio,records
SE1,2021-11,ew_boda,0.4467,0.4398,1.016,2880
SE1,2021-11,south_lundby,0.3193,0.4398,0.726,2880
SE1,2021-12,ew_boda,0.599,0.6667,0.898,2976
SE1,2021-12,south_lundby,0.8174,0.6667,1.226,2976
SE1,2022-01,ew_boda,0.2815,0.2903,0.97,2976
SE1,2022-01,south_lundby,0.3493,0.2903,1.203,2976
SE1,2022-02,ew_boda,0.3232,0.2576,1.255,2688
SE1,2022-02,south_lundby,0.3493,0.2576,1.356,2688
SE1,2022-03,ew_boda,0.2618,0.2289,1.143,2972
SE1,2022-03,south_lundby,0.2309,0.2289,1.009,2972
SE1,2022-04,ew_boda,0.5332,0.5291,1.008,2880
SE1,2022-04,south_lundby,0.5739,0.5291,1.085,2880
SE1,2022-05,ew_boda,0.7733,0.5792,1.335,2976
SE1,2022-05,south_lundby,0.6612,0.5792,1.142,2976
SE1,2022-06,ew_boda,0.6307,0.5114,1.233,2880
SE1,2022-06,south_lundby,0.5494,0.5114,1.074,2880
SE1,2022-07,ew_boda,0.28,0.224,1.25,2976
SE1,2022-07,south_lundby,0.2572,0.224,1.148,2976
SE1,2022-08,ew_boda,0.2572,0.1831,1.404,2976
SE1,2022-08,south_lundby,0.2034,0.1831,1.111,2976
SE1,2022-09,ew_boda,1.0039,1.0072,0.997,2880
SE1,2022-09,south_lundby,1.1483,1.0072,1.14,2880
SE1,2022-10,ew_boda,0.5754,0.5039,1.142,2980
SE1,2022-10,south_lundby,0.4471,0.5039,0.887,2980
SE1,2022-11,ew_boda,1.1112,1.221,0.91,2880
SE1,2022-11,south_lundby,0.8166,1.221,0.669,2880
SE1,2022-12,ew_boda,2.3794,2.059,1.156,2976
SE1,2022-12,south_lundby,2.912,2.059,1.414,2976
SE1,2023-01,ew_boda,0.7311,0.7039,1.039,2976
SE1,2023-01,south_lundby,0.7832,0.7039,1.113,2976
SE1,2023-02,ew_boda,0.5278,0.5208,1.013,2688
SE1,2023-02,south_lundby,0.5649,0.5208,1.085,2688
SE1,2023-03,ew_boda,0.6212,0.5661,1.097,2972
SE1,2023-03,south_lundby,0.6487,0.5661,1.146,2972
SE1,2023-04,ew_boda,0.6962,0.6661,1.045,2880
SE1,2023-04,south_lundby,0.6722,0.6661,1.009,2880
SE1,2023-05,ew_boda,0.2878,0.2789,1.032,2976
SE1,2023-05,south_lundby,0.3539,0.2789,1.269,2976
SE1,2023-06,ew_boda,0.5009,0.516,0.971,2880
SE1,2023-06,south_lundby,0.5157,0.516,0.999,2880
SE1,2023-07,ew_boda,0.3626,0.3741,0.969,2976
SE1,2023-07,south_lundby,0.3892,0.3741,1.04,2976
SE1,2023-08,ew_boda,0.2697,0.2375,1.136,2976
SE1,2023-08,south_lundby,0.2623,0.2375,1.104,2976
SE1,2023-09,ew_boda,0.1436,0.1089,1.319,2880
SE1,2023-09,south_lundby,0.1516,0.1089,1.393,2880
SE1,2023-10,ew_boda,0.1883,0.1758,1.071,2980
SE1,2023-10,south_lundby,0.2156,0.1758,1.226,2980
SE1,2023-11,ew_boda,0.6069,0.6096,0.996,2880
SE1,2023-11,south_lundby,0.63,0.6096,1.033,2880
SE1,2023-12,ew_boda,0.8352,0.7261,1.15,2976
