zone,period,profile,capture_sek,average_sek,ratio,records
SE1,2021,ew_boda,0.4901,0.5551,0.883,5856
SE1,2021,south_lundby,0.4993,0.5551,0.899,5856
SE1,2022,ew_boda,0.5406,0.634,0.853,35040
SE1,2022,south_lundby,0.5185,0.634,0.818,35040
SE1,2023,ew_boda,0.409,0.4562,0.896,35040
SE1,2023,south_lundby,0.4378,0.4562,0.96,35040
SE1,2024,ew_boda,0.2581,0.2857,0.903,35136
SE1,2024,south_lundby,0.2622,0.2857,0.918,35136
SE1,2025,ew_boda,0.149,0.1739,0.857,32163
SE1,2025,south_lundby,0.1539,0.1739,0.885,32163
SE2,2021,ew_boda,0.4901,0.5551,0.883,5856
SE2,2021,south_lundby,0.4993,0.5551,0.899,5856
SE2,2022,ew_boda,0.5833,0.6637,0.879,35024
SE2,2022,south_lundby,0.5719,0.6637,0.862,35024
SE2,2023,ew_boda,0.409,0.4563,0.896,35040
SE2,2023,south_lundby,0.4378,0.4563,0.96,35040
SE2,2024,ew_boda,0.2588,0.2809,0.921,35136
SE2,2024,south_lundby,0.2619,0.2809,0.932,35136
SE2,2025,ew_boda,0.1536,0.1715,0.896,32163
SE2,2025,south_lundby,0.1568,0.1715,0.914,32163
SE3,2021,ew_boda,1.3768,1.3302,1.035,5852
SE3,2021,south_lundby,1.4168,1.3302,1.065,5852
SE3,2022,ew_boda,1.5895,1.3788,1.153,35040
SE3,2022,south_lundby,1.516,1.3788,1.099,35040
SE3,2023,ew_boda,0.5105,0.5902,0.865,35040
SE3,2023,south_lundby,0.5371,0.5902,0.91,35040
SE3,2024,ew_boda,0.3056,0.4088,0.747,35136
SE3,2024,south_lundby,0.313,0.4088,0.766,35136
SE3,2025,ew_boda,0.3517,0.5123,0.686,32163
SE3,2025,south_lundby,0.3361,0.5123,0.656,32163
SE4,2021,ew_boda,1.7037,1.5069,1.131,5856
SE4,2021,south_lundby,1.9283,1.5069,1.28,5856
SE4,2022,ew_boda,1.8389,1.6209,1.134,35040
SE4,2022,south_lundby,1.7395,1.6209,1.073,35040
SE4,2023,ew_boda,0.6639,0.7422,0.894,35040
SE4,2023,south_lundby,0.6807,0.7422,0.917,35040
SE4,2024,ew_boda,0.4305,0.5687,0.757,35136
SE4,2024,south_lundby,0.4173,0.5687,0.734,35136
SE4,2025,ew_boda,0.4478,0.6714,0.667,32163
SE4,2025,south_lundby,0.4228,0.6714,0.63,32163
