PVSYST 7.4.8
;File;File date;Description
Project;221208 - Lundby.PRJ;04/07/25 15h48;221208 - Lundby;
Geographical Site;Grunnarp_Solcast_TMY.SIT;04/07/25 15h48;Grunnarp;Sweden;Europe;;
Weather data;Grunnarp_Solcast_TMY.MET;22/05/25 11h37;Grunnarp;Solcast TMY;TMY;
Simulation variant;221208 - Lundby.VD1;07/11/25 15h27;251014- Lundby - PVsyst report- Grid Studies-Final run- 66% 33% 720 725;
Simulation date;;19/11/25 09h43

Simulation:;Hourly values; from 01/01/90; to 31/12/90 

date;GlobInc;GlobEff;EArray;E_Grid;PR;HSol;ShdLoss;GlobHor;T_Amb;OhmLoss;EACOhmL;EOutInv;EArrRef;EArrNom;IL_Imax;IL_Pmax;InvLoss;IL_Pmin;IL_Oper;IL_Vmin;IL_Vmax;EArrMPP;EMVOhmL;IArray;UArray;IAMLoss;SlgLoss;TempLss;LIDLoss;EGrdLim;EMVTrfL;DiffHor;BeamHor;WindVel
    ;W/m�;W/m�;kW;kW;ratio;�;W/m�;W/m�;캜;kW;kW;kW;kW;kW;kW;kW;kW;kW;kW;kW;kW;kW;kW;A;V;W/m�;W/m�;kW;kW;kW;kW;W/m�;W/m�;m/s

01/01/90 00:00;0;0;0;-5.066;0;0;0;0;-0.0002;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;0
01/01/90 01:00;0;0;0;-5.066;0;0;0;0;-1.3999;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.0999
01/01/90 02:00;0;0;0;-5.066;0;0;0;0;-2;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.4
01/01/90 03:00;0;0;0;-5.066;0;0;0;0;-2.2997;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.7
01/01/90 04:00;0;0;0;-5.066;0;0;0;0;-2.4997;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;4.0001
01/01/90 05:00;0;0;0;-5.066;0;0;0;0;-2.4997;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;4.0001
01/01/90 06:00;0;0;0;-5.066;0;0;0;0;-2.6998;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.5999
01/01/90 07:00;0;0;0;-5.066;0;0;0;0;-2.8001;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.3001
01/01/90 08:00;0;0;0;-4.866;0;0.0654;0;0;-2.6998;0;0;-0.126;0;0;0;0;0.126;0;0;0;0;0;0;0;0;0;0;0;0;0;4.74;0;0;3.5001
01/01/90 09:00;143.25;41.904;288;266.2;0.2162;2.7936;65.134;30.004;-2.6998;0.2179;0.1093;273.19;1231.1;374.9;0;0;14.813;0;14.813;0;0;288;0.0142;271.11;1062.3;3.6021;9.1916;-31.634;2.9868;0;4.8136;15.999;14.005;3.7
01/01/90 10:00;307.88;143.74;1062;1032;0.3901;6.929;126.16;92.006;-2.4;1.0363;1.6075;1047.5;2645.8;1266;0;0;14.514;0;14.514;0;0;1062;0.2087;967.76;1097.4;6.4347;31.538;-91.275;11;0;5.8228;35.997;56.009;3.8001
01/01/90 11:00;400.1;206.1;1600.2;1558.2;0.4532;9.3203;142.85;134.01;-1.7999;1.8256;3.6639;1581.5;3438.4;1809.7;0;0;18.783;0;18.783;0;0;1600.2;0.4757;1452.7;1101.5;5.9033;45.225;-117.45;16.572;0;7.2079;44.998;89.008;3.7
01/01/90 12:00;421.24;219.47;1741.3;1695.8;0.4685;9.7798;147.8;143;-1.5002;2.0646;4.3404;1721.3;3620;1925.5;0;0;19.991;0;19.991;0;0;1741.3;0.5636;1581.1;1101.3;5.7792;48.16;-121.18;18.032;0;7.6636;46;96.997;3.3001
