PVSYST 7.4.8
,File,File date,Description
Project,230628 - Böda Sand.PRJ,05/09/23 14h59,230628 - Böda Sand,
Geographical Site,Fagerum_MN81.SIT,05/09/23 14h59,Fagerum;Sweden;Europe;,
Weather data,Fagerum_MN81_SYN.MET,28/06/23 14h24,Fagerum;Meteonorm 8.1 (1991-2013), Sat=100%;Synthetic,
Simulation variant,230628 - Böda Sand.VCG,27/03/25 11h53,250317 - Böda Sand E-W without trees tilt5_0azimuth,
Simulation date,,10/04/25 12h13

Simulation:,Hourly values, from 01/01/90, to 31/12/90 

date,EffArrR,EffSysR,PR,Yf,Yr,E_Grid,ShdLoss,GlobHor,GlobInc,GlobEff,FShdGl,FIAMGl,FIAMShd,EArrMPP,IL_Pmin,IL_Pmax
    ,%,%,ratio,kWh/kWp/day,kWh/m²/day,kW,W/m²,W/m²,W/m²,W/m²,ratio,ratio,ratio,kW,kW,kW

01/01/90 00:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 01:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 02:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 03:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 04:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 05:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 06:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 07:00,0,0,0,-0.0161,0,-1.8239,0,0,0,0,1,1,1,0,0,0
01/01/90 08:00,0,0,0,-0.0161,0,-1.8239,0,0.3003,0,0,1,1,1,0,0,0
01/01/90 09:00,0,0,0,-0.0161,0,-1.8239,0,3.495,0,0,1,1,1,0,0,0
01/01/90 10:00,17.405,16.657,0.7237,1.0337,1.4284,116.9,0.0951,59.606,59.518,46.572,0.9984,0.8708,0.8694,122.15,0,0
01/01/90 11:00,18.012,17.385,0.7553,1.3657,1.8081,154.44,0.1226,75.702,75.339,60.558,0.9984,0.8946,0.8931,160.01,0,0
